metric,docker-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,169349205815.0204-201765204093.64563,401112999869.57874-428596211720.92126,True,2.12x-2.35x
instructions,214079009059.18924-258584534073.8207,374429326181.0703-400963318361.3297,True,1.53x-1.75x
cache-misses,149499945.0644994-170454309.9075006,243224227.50692695-260601507.99307305,True,1.49x-1.66x
cache-references,39905398675.43768-49025575588.49832,203954647044.77966-222633928316.12036,True,4.57x-5.03x
bus-cycles,86538862919.30449-103016728233.49751,201849679829.1167-216309808906.5833,True,2.09x-2.32x
page-faults,52503.55819958096-54385.223800419015,102081.26052630162-103905.83947369839,True,1.90x-1.95x
branch-instructions,34428561875.046074-40872244464.30494,46466710302.15569-50926064340.544304,True,1.19x-1.39x
branch-misses,305636387.184594-365788217.22740597,2065403485.9810288-2219630332.418971,True,6.14x-6.62x
major-faults,224.76154407205547-477.6524559279445,46.19773655546678-112.60226344453324,True,2.79x-6.06x
minor-faults,52199.245584263-53966.602415737,102008.6302215657-103819.66977843428,True,1.92x-1.96x
avg-memory-over-time-in-bytes,163633020.44856527-199417635.94543472,228228659.2123982-250567693.80460188,True,1.21x-1.43x
max-memory-over-time-in-bytes,190441543.11072436-229468498.48927566,301986295.61279327-325482401.98720676,True,1.39x-1.60x
cpu-total-utilization-percentage,42.410169441938876-49.28183055806113,30.028262699807193-30.372737300192803,True,1.40x-1.63x
cpu-user-utilization-percentage,40.5538842357732-47.14611576422682,29.743829551509897-30.068170448490093,True,1.36x-1.58x
cpu-system-utilization-percentage,1.8570826206972122-2.1389173793027885,0.28633121234996733-0.32166878765003265,True,6.11x-7.04x
instructions-per-cycle,1.237499632502544-1.3069685935131392,0.9016704667909472-0.9729895505912187,True,1.31x-1.41x
cycles-per-instruction,0.7673949436978299-0.8096269637307342,1.0345410591944377-1.1118657093825832,True,1.31x-1.42x
