experiment_type,trial_number,start_time,wall-time-seconds
docker,33,2025-02-08T23:19:10.382449,2.28
docker,34,2025-02-08T23:19:12.758413,2.11
wasm_interpreted,35,2025-02-08T23:19:14.980557,11.16
wasm_interpreted,36,2025-02-08T23:19:26.154810,10.93
docker,35,2025-02-08T23:19:37.099369,2.39
docker,36,2025-02-08T23:19:39.582728,2.27
wasm_aot,32,2025-02-08T23:19:41.958611,1.22
wasm_aot,33,2025-02-08T23:19:43.190441,1.23
wasm_interpreted,37,2025-02-08T23:19:44.429251,11.04
docker,37,2025-02-08T23:19:55.473510,2.19
wasm_aot,34,2025-02-08T23:19:57.798356,1.23
wasm_interpreted,38,2025-02-08T23:19:59.032568,10.98
wasm_aot,35,2025-02-08T23:20:10.022723,1.14
docker,38,2025-02-08T23:20:11.173842,2.32
wasm_aot,36,2025-02-08T23:20:13.626682,1.35
wasm_aot,37,2025-02-08T23:20:14.981688,1.22
wasm_interpreted,39,2025-02-08T23:20:16.207587,10.83
docker,39,2025-02-08T23:20:27.045313,2.37
docker,40,2025-02-08T23:20:29.502546,2.23
docker,41,2025-02-08T23:20:31.821545,2.48
wasm_interpreted,40,2025-02-08T23:20:34.381689,10.89
docker,42,2025-02-08T23:20:45.281474,2.26
docker,43,2025-02-08T23:20:47.629356,2.26
wasm_aot,38,2025-02-08T23:20:49.994076,1.23
wasm_aot,39,2025-02-08T23:20:51.229459,1.19
wasm_aot,40,2025-02-08T23:20:52.427986,1.23
wasm_interpreted,41,2025-02-08T23:20:53.667860,10.81
wasm_interpreted,42,2025-02-08T23:21:04.491242,10.81
docker,44,2025-02-08T23:21:15.311263,2.27
wasm_aot,41,2025-02-08T23:21:17.692823,1.28
wasm_aot,42,2025-02-08T23:21:18.984174,1.21
wasm_interpreted,43,2025-02-08T23:21:20.203516,11.94
wasm_interpreted,44,2025-02-08T23:21:32.153249,11.38
wasm_interpreted,45,2025-02-08T23:21:43.543106,10.86
wasm_aot,43,2025-02-08T23:21:54.415611,1.22
docker,45,2025-02-08T23:21:55.651405,2.74
wasm_aot,44,2025-02-08T23:21:58.474835,1.23
docker,46,2025-02-08T23:21:59.708885,2.18
