experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
docker_container_and_daemon,11,2025-02-01T15:19:22.575981,18716873218,35737207489,4309153197,164994041,47762,6826209321,1932475860,101176882,237490612,264486912
wasm_aot,13,2025-02-01T15:20:18.720965,1650226686749,1490931323998,440187235684,1898038783,1765153,748942733234,251155276973,5950736603,274775912,341970944
wasm_interpreted,11,2025-02-01T15:21:03.222269,1731815031326,1572578049483,469202248769,1989273298,1844191,785176385189,262836698110,6307515177,237505286,368656384
wasm_interpreted,12,2025-02-01T15:22:15.317734,1819409534975,1658303886823,497089225768,2070033538,1924178,819794761323,274476582250,6684027760,241327531,374644736
docker_container,12,2025-02-01T15:23:27.255098,51985587840,41941739805,9898926195,70706826,57174,23031857274,8459006128,132575370,144158720,275226624
docker_container_and_daemon,12,2025-02-01T15:23:27.255098,57651953826,47051347633,15251750455,236440896,62375,35199635341,9879988108,267352237,257451553,318328832
wasm_interpreted,13,2025-02-01T15:24:23.680125,1910321440610,1743021721541,528352738219,2171056424,2003756,861836151099,287580546571,7042792255,219871107,350797824
docker_container,13,2025-02-01T15:25:40.629435,45120034505,41174065006,8465073320,58573100,56459,19767688784,7480902396,119769742,145658973,271093760
docker_container_and_daemon,13,2025-02-01T15:25:40.629435,50635107476,43318667856,9169966034,226525944,59633,20797388086,8194179507,294228294,246289096,310067200
docker_container,14,2025-02-01T15:26:34.464184,69393448466,56119870035,12511217756,77331570,60993,27613494134,10450144872,129372420,106536277,259473408
docker_container_and_daemon,14,2025-02-01T15:26:34.464184,74105998625,61490032631,13447664461,88768593,66378,29452043970,11291367274,236181424,176956821,262537216
docker_container,15,2025-02-01T15:27:22.967463,7400542253,9388540911,1551191739,26012712,38753,4260139458,805388900,39215533,69000046,160227328
docker_container_and_daemon,15,2025-02-01T15:27:22.967463,10196674600,13192060421,2248503649,33802127,42020,4646969810,1189706833,59165972,177434717,200720384
wasm_aot,14,2025-02-01T15:28:12.572630,1981134737656,1802161663835,540879496343,2252317525,2079489,890954118604,299106691259,7191544789,281721666,352063488
docker_container,16,2025-02-01T15:28:58.712823,2357580866,4547613505,1097094451,34522455,18001,2268131252,266252009,28574613,71390939,127066112
docker_container_and_daemon,16,2025-02-01T15:28:58.712823,4166141396,6624062895,3026040891,82966468,21664,5342613024,456132996,57584029,155662837,166547456
docker_container,17,2025-02-01T15:29:52.170003,66691313589,56872372423,11715059710,78176954,61802,25274044190,10181543043,144659099,89251255,256557056
docker_container_and_daemon,17,2025-02-01T15:29:52.170003,71805907115,60323827601,12647710868,121254948,65611,26811044399,11270015915,172480499,160783336,297111552
wasm_interpreted,14,2025-02-01T15:30:41.964940,2076033532513,1892235939152,571032418893,2348944747,2159881,934699229943,312951186899,7589709753,230366331,357306368
docker_container,18,2025-02-01T15:32:01.457798,19585693422,20867078593,4005811154,40426593,47609,9497566660,2933776640,85964294,91253760,237342720
docker_container_and_daemon,18,2025-02-01T15:32:01.457798,20987146431,28132327878,4293005469,48534746,51102,10186186641,3143662613,92728260,222003461,273395712
wasm_interpreted,15,2025-02-01T15:32:56.686914,2170831477913,1969729219092,597239965721,2436382544,2239150,971374942054,324861735589,7916258246,230415974,352788480
docker_container,19,2025-02-01T15:34:14.872362,64974433992,52155812449,12241868132,78532369,60520,26918066068,10121964580,128282110,118991986,288411648
docker_container_and_daemon,19,2025-02-01T15:34:14.872362,70418933259,56683751970,13476720209,129129083,66436,29254053874,11034399461,141895026,231933451,328986624
wasm_aot,15,2025-02-01T15:35:07.547119,2241343967240,2029528626521,610456414708,2518077134,2313710,1001813645959,336024353574,8074647746,277176047,340594688
docker_container,20,2025-02-01T15:35:53.446083,64446756104,55168068507,12338432915,73468944,61993,27492705223,10448924946,150318362,128930247,289812480
docker_container_and_daemon,20,2025-02-01T15:35:53.446083,69121339003,59167771401,12992477103,83201215,66812,29482215418,11067936238,188790921,235754564,289869824
wasm_aot,16,2025-02-01T15:36:45.868079,2305382953551,2081937756706,622781422531,2597093033,2387954,1031404390919,346330189875,8215492903,266616044,332279808
docker_container,21,2025-02-01T15:37:30.276706,5245025630,6460721408,1335479744,26938940,34416,4557104067,831771373,57160579,87158784,183312384
docker_container_and_daemon,21,2025-02-01T15:37:30.276706,6413475250,7273652197,1703175784,37528366,38383,5277296132,1284445569,96740891,203234979,227762176
wasm_interpreted,16,2025-02-01T15:38:24.589143,2397543571239,2171007185079,653700506360,2693040564,2468147,1076517810768,359598397272,8577033966,237211819,352538624
docker_container,22,2025-02-01T15:39:44.844955,63452700742,54903262630,11276608512,67698885,60764,24939543891,9989296490,146403572,123249550,286031872
docker_container_and_daemon,22,2025-02-01T15:39:44.844955,69935848714,63416019044,12781638780,84577707,67748,28422044219,11126608082,295018351,232265449,326385664
wasm_aot,17,2025-02-01T15:40:39.318433,2461946447030,2224197166422,666023374632,2771412832,2542360,1105138829341,370644173025,8737748513,268444303,345669632
docker_container,23,2025-02-01T15:41:23.958283,13714913488,14929516060,3273645422,33080044,45365,8282012121,2429843650,79956344,107526144,228864000
docker_container_and_daemon,23,2025-02-01T15:41:23.958283,15443979597,16357545056,4365412560,44343282,51197,10490194477,3018877188,140561413,235709599,271134720
wasm_interpreted,17,2025-02-01T15:42:17.798934,2554929795256,2310146376587,696902230458,2865457356,2623798,1148105978885,384018414236,9135980402,245115465,357244928
wasm_interpreted,18,2025-02-01T15:43:35.142644,2646999657809,2400260125245,728031525957,2963366522,2703454,1190032058694,397020052705,9507624505,240682496,374177792
