experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,27,2025-02-02T06:25:53.931366,12.95
wasm_interpreted,39,2025-02-02T06:26:06.894217,35.45
wasm_aot,28,2025-02-02T06:26:42.354333,9.8
wasm_interpreted,40,2025-02-02T06:26:52.171803,35.04
wasm_interpreted,41,2025-02-02T06:27:27.224178,35.14
wasm_aot,29,2025-02-02T06:28:02.388198,9.07
wasm_aot,30,2025-02-02T06:28:11.473076,9.4
wasm_aot,31,2025-02-02T06:28:20.881729,9.77
wasm_aot,32,2025-02-02T06:28:30.658664,9.78
wasm_interpreted,42,2025-02-02T06:28:40.447491,35.15
docker,34,2025-02-02T06:29:15.611359,18.68
docker,35,2025-02-02T06:29:35.521122,11.07
docker,36,2025-02-02T06:29:46.846758,11.72
docker,37,2025-02-02T06:29:58.794722,12.19
docker,38,2025-02-02T06:30:11.482044,11.15
docker,39,2025-02-02T06:30:22.883216,11.68
wasm_interpreted,43,2025-02-02T06:30:34.861147,38.91
wasm_aot,33,2025-02-02T06:31:13.784616,9.66
docker,40,2025-02-02T06:31:23.462450,17.5
wasm_aot,34,2025-02-02T06:31:41.862657,12.71
wasm_aot,35,2025-02-02T06:31:54.598080,10.1
docker,41,2025-02-02T06:32:04.706896,18.04
wasm_aot,36,2025-02-02T06:32:23.829468,13.26
wasm_aot,37,2025-02-02T06:32:37.109564,10.14
docker,42,2025-02-02T06:32:47.260959,18.73
docker,43,2025-02-02T06:33:06.708259,11.14
wasm_aot,38,2025-02-02T06:33:18.100510,13.18
wasm_interpreted,44,2025-02-02T06:33:31.296017,35.3
wasm_aot,39,2025-02-02T06:34:06.611878,9.82
wasm_aot,40,2025-02-02T06:34:16.449333,9.78
wasm_aot,41,2025-02-02T06:34:26.239085,9.87
docker,44,2025-02-02T06:34:36.125021,18.19
wasm_interpreted,45,2025-02-02T06:34:55.318338,39.25
wasm_aot,42,2025-02-02T06:35:34.578145,10.51
wasm_aot,43,2025-02-02T06:35:45.112850,9.85
docker,45,2025-02-02T06:35:54.976305,17.78
docker,46,2025-02-02T06:36:13.564814,11.2
wasm_aot,44,2025-02-02T06:36:24.994872,13.25
wasm_aot,45,2025-02-02T06:36:38.261371,9.79
wasm_aot,46,2025-02-02T06:36:48.067708,10.13
wasm_interpreted,46,2025-02-02T06:36:58.213091,35.74
wasm_interpreted,47,2025-02-02T06:37:33.965549,35.44
wasm_aot,47,2025-02-02T06:38:09.425320,9.7
docker,47,2025-02-02T06:38:19.141712,18.54
wasm_aot,48,2025-02-02T06:38:38.562543,12.95
wasm_interpreted,48,2025-02-02T06:38:51.528155,35.39
wasm_aot,49,2025-02-02T06:39:26.935774,10.0
wasm_interpreted,49,2025-02-02T06:39:36.953023,35.04
wasm_aot,50,2025-02-02T06:40:12.004444,9.23
docker,48,2025-02-02T06:40:21.249694,18.84
wasm_interpreted,50,2025-02-02T06:40:40.959907,38.11
docker,49,2025-02-02T06:41:19.083275,16.69
docker,50,2025-02-02T06:41:36.600166,11.86
