experiment_type,trial_number,start_time,wall-time-seconds
wasm_interpreted,35,2025-02-01T14:42:49.515156,28.25
wasm_aot,33,2025-02-01T14:43:17.775761,2.12
wasm_interpreted,36,2025-02-01T14:43:19.906973,28.13
wasm_aot,34,2025-02-01T14:43:48.050236,2.23
wasm_aot,35,2025-02-01T14:43:50.288104,2.15
wasm_aot,36,2025-02-01T14:43:52.447159,2.16
wasm_aot,37,2025-02-01T14:43:54.618115,2.15
docker,32,2025-02-01T14:43:56.775439,3.34
wasm_aot,38,2025-02-01T14:44:00.292555,2.22
wasm_aot,39,2025-02-01T14:44:02.527094,2.07
wasm_aot,40,2025-02-01T14:44:04.607098,2.26
wasm_interpreted,37,2025-02-01T14:44:06.876739,28.2
wasm_interpreted,38,2025-02-01T14:44:35.083334,28.2
wasm_interpreted,39,2025-02-01T14:45:03.299876,28.35
docker,33,2025-02-01T14:45:31.660697,3.24
wasm_interpreted,40,2025-02-01T14:45:35.070344,28.25
wasm_interpreted,41,2025-02-01T14:46:03.327408,27.97
wasm_interpreted,42,2025-02-01T14:46:31.309175,28.15
docker,34,2025-02-01T14:46:59.470609,3.23
wasm_interpreted,43,2025-02-01T14:47:02.890308,28.21
docker,35,2025-02-01T14:47:31.108311,3.1
wasm_interpreted,44,2025-02-01T14:47:34.389182,28.17
wasm_aot,41,2025-02-01T14:48:02.565746,2.28
docker,36,2025-02-01T14:48:04.853305,3.17
docker,37,2025-02-01T14:48:08.194415,3.34
wasm_aot,42,2025-02-01T14:48:11.725010,2.01
docker,38,2025-02-01T14:48:13.748878,3.16
docker,39,2025-02-01T14:48:17.104661,3.31
docker,40,2025-02-01T14:48:20.631576,3.31
wasm_interpreted,45,2025-02-01T14:48:24.114722,28.12
wasm_interpreted,46,2025-02-01T14:48:52.247894,28.3
docker,41,2025-02-01T14:49:20.563418,3.36
wasm_aot,43,2025-02-01T14:49:24.102019,2.32
wasm_interpreted,47,2025-02-01T14:49:26.435053,28.16
wasm_aot,44,2025-02-01T14:49:54.603599,2.15
wasm_aot,45,2025-02-01T14:49:56.761507,2.19
docker,42,2025-02-01T14:49:58.966192,3.13
docker,43,2025-02-01T14:50:02.283130,3.91
wasm_aot,46,2025-02-01T14:50:06.360080,2.15
docker,44,2025-02-01T14:50:08.522033,3.21
docker,45,2025-02-01T14:50:11.926973,3.19
wasm_aot,47,2025-02-01T14:50:15.294479,1.93
wasm_interpreted,48,2025-02-01T14:50:17.237949,28.24
wasm_interpreted,49,2025-02-01T14:50:45.492788,28.23
wasm_aot,48,2025-02-01T14:51:13.732291,2.16
docker,46,2025-02-01T14:51:15.907837,3.28
docker,47,2025-02-01T14:51:19.377217,3.18
wasm_aot,49,2025-02-01T14:51:22.743291,2.19
wasm_interpreted,50,2025-02-01T14:51:24.945293,27.96
docker,48,2025-02-01T14:51:52.920298,3.11
docker,49,2025-02-01T14:51:56.196753,3.24
wasm_aot,50,2025-02-01T14:51:59.624968,2.14
docker,50,2025-02-01T14:52:01.778915,3.07
