experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
docker_container_and_daemon,13,2025-02-02T13:57:16.579949,88574781754,64977100614,17983178365,101709221,106748,32520564787,13809003371,209590277,197524919,221765632
wasm_aot,4,2025-02-02T13:58:10.278658,7003713736588,7859970132328,4488075786890,3273670952,1402417,4095506898569,814237486920,46028417539,335850752,428007424
wasm_aot,5,2025-02-02T13:59:01.586558,7073681716976,7916950711989,4503966631332,3355363070,1505659,4126957710545,824923037173,46190520024,333262055,406859776
wasm_interpreted,10,2025-02-02T13:59:50.385370,7714373478245,8746356188467,5085756746781,3669452753,1614971,4608614281979,939884822598,50608994492,270794408,451207168
docker_container,14,2025-02-02T14:14:32.947940,71593124042,60116081241,12634963454,82643002,101940,28235913551,11071207852,152221280,136906459,287289344
docker_container_and_daemon,14,2025-02-02T14:14:32.947940,87424047180,75097367751,17327966228,157177989,109489,36603635554,13288498761,181722763,252088756,337375232
docker_container,15,2025-02-02T14:15:30.818662,70466851725,63497041154,12218827161,80260666,102901,26820637924,10320720440,136058529,120510757,260915200
docker_container_and_daemon,15,2025-02-02T14:15:30.818662,98257009779,85293709564,20426742867,88118913,109172,38157795119,13917232628,242694103,224120832,311943168
wasm_aot,6,2025-02-02T14:16:24.156960,7779505582866,8801951893575,5097216741844,3753051057,1718648,4635732133067,949419592684,50786933161,350974559,418435072
wasm_interpreted,11,2025-02-02T14:17:12.941956,8572627310456,9831270635000,5493940577092,4167815677,1828183,5123450593393,1063314117675,56460778550,275877764,438272000
wasm_aot,7,2025-02-02T14:31:56.991240,8640657461403,9891216854576,5506428647230,4251918801,1931063,5152329424735,1073690902799,56610997518,354062760,430759936
wasm_aot,8,2025-02-02T14:32:43.209656,8707367386669,9947204506469,5518861529302,4333055195,2033147,5181386900949,1083748946581,56776931127,345715712,433545216
wasm_interpreted,12,2025-02-02T14:33:28.238151,9484361479006,10808378569805,6031136613516,4657628890,2143284,5622640442263,1171730185621,61872226513,271114522,437522432
docker_container,16,2025-02-02T14:47:57.273005,71880357290,60664264305,13182407123,86891955,102763,30378645780,11384592762,156573898,146689463,277229568
docker_container_and_daemon,16,2025-02-02T14:47:57.273005,98182240067,77627286733,19069101595,97988712,109594,39682000348,13288864086,203350560,248123218,289341440
wasm_interpreted,13,2025-02-02T14:48:56.138733,10273652448360,11526110097719,6552698664478,5035125748,2254742,6110146303536,1277596860740,66696461468,262345648,433979392
wasm_interpreted,14,2025-02-02T15:03:50.698926,10911333892881,12217153596275,6977642183056,5280331379,2363628,6588554467622,1341521478806,71001447172,274212146,450768896
docker_container,17,2025-02-02T15:18:24.767695,68100195716,63428345111,12349991342,76163570,101802,27591426192,10186476506,157301985,164375113,283156480
docker_container_and_daemon,17,2025-02-02T15:18:24.767695,105795734244,74020581095,18260425101,155838989,109470,33720299670,14652575161,388325033,252060004,333873152
wasm_interpreted,15,2025-02-02T15:19:22.043061,11706201602484,13049109909812,7475149376101,5598904120,2473463,7008001163412,1425766683167,76005109888,268226482,456798208
wasm_interpreted,16,2025-02-02T15:33:51.494278,12492335498436,13770658205403,7920470525096,5955153821,2582786,7350352841791,1491435171728,80324937475,266985008,434597888
wasm_aot,9,2025-02-02T15:48:29.550100,12560485248264,13833568213411,7932134650057,6042301439,2686331,7379925802525,1502129033520,80515053189,360496587,437977088
wasm_aot,10,2025-02-02T15:49:16.313812,12629789366332,13895046339572,7946938735174,6125192232,2789809,7409512473664,1513047358208,80703707350,347996160,424644608
wasm_aot,11,2025-02-02T15:50:05.653520,12702155398417,13957359734353,7959259796396,6206781810,2891782,7439385625879,1523736925101,80871064437,356905088,437465088
wasm_interpreted,17,2025-02-02T15:50:53.589210,13531195911540,14819138146298,8465420574750,6565291855,3002488,7886530006378,1612221610864,85946777610,271168473,433975296
docker_container,18,2025-02-02T16:05:28.732963,31731532552,28949948401,6945800229,51457695,92086,15316310242,4447145132,105352629,135202028,251551744
docker_container_and_daemon,18,2025-02-02T16:05:28.732963,72615933761,41760538686,14912155859,114010447,97511,21480316685,8499759893,232053298,257972821,302534656
docker_container,19,2025-02-02T16:06:28.264683,71311691765,60153198270,13022446984,76830315,103298,28805546553,11397247697,151532892,104109521,242544640
docker_container_and_daemon,19,2025-02-02T16:06:28.264683,106577506853,80525872069,23890887107,100592820,106903,34855966855,15522735089,248938304,212952461,258306048
docker_container,20,2025-02-02T16:07:21.303381,72387632067,61314807654,13134842665,83859519,102128,29891084949,11621034064,162624684,98474394,247889920
docker_container_and_daemon,20,2025-02-02T16:07:21.303381,99308345793,79224046253,18530630078,142843681,106478,32806448756,14088973140,195146372,180879019,292413440
wasm_interpreted,18,2025-02-02T16:08:15.175550,14288723260851,15661940384064,8917901714808,6929744530,3112048,8304452249649,1694791382987,91010826320,266804316,454492160
wasm_aot,12,2025-02-02T16:23:14.492067,14353507722181,15722335217247,8929630159959,7004662859,3215505,8332952105967,1704865321187,91186801505,350680132,414621696
wasm_aot,13,2025-02-02T16:23:59.473500,14419796231809,15782704782592,8941199816239,7087146146,3326445,8359357467426,1714354261230,91388024722,357641655,439468032
wasm_aot,14,2025-02-02T16:24:43.767059,14485134984338,15838543744664,8953500509207,7168172872,3429030,8386383463115,1724146455342,91535602073,358284209,429629440
docker_container,21,2025-02-02T16:25:29.418614,12371010067,16907792414,2487582080,36824855,83943,6469068239,1648315361,63079053,111162833,217583616
docker_container_and_daemon,21,2025-02-02T16:25:29.418614,49307639713,28030216222,8695183531,70388512,89224,14762684445,4713920376,193031251,239147991,270864384
docker_container,22,2025-02-02T16:26:32.467435,70086477524,59449861709,13216385470,80646364,102451,29667828784,11377201270,137613905,134058667,249663488
docker_container_and_daemon,22,2025-02-02T16:26:32.467435,108622687924,82264795390,28674868077,273187635,110335,52532689781,16618390001,286726791,241277806,304570368
docker_container,23,2025-02-02T16:27:26.141248,71599373066,60133644356,13855386303,84312780,103229,30501573135,11570821550,144015845,107766579,271855616
docker_container_and_daemon,23,2025-02-02T16:27:26.141248,104306924702,79602695960,22286658126,135312985,108108,37979003430,17502164678,296912789,210453217,238419968
wasm_interpreted,19,2025-02-02T16:28:20.984898,15130855404017,16578770760776,9393625872439,7509446150,3539497,8738546390369,1790858147199,95809045977,267618984,454270976
wasm_interpreted,20,2025-02-02T16:42:59.947211,15947905360314,17532216130228,9939861689285,7909334432,3648871,9131702463974,1883065218202,101387883767,266646435,440000512
docker_container,24,2025-02-02T16:57:24.646117,68748125943,56571145278,13406775396,80776579,101806,30381686257,11421835878,158654016,159693756,285831168
docker_container_and_daemon,24,2025-02-02T16:57:24.646117,134350323011,96545437531,30008829685,89877415,110723,45504449699,18064503265,280679474,258098666,335970304
wasm_interpreted,21,2025-02-02T16:58:21.639070,16708563453234,18413023546972,10436633805436,8242746638,3758889,9563197670068,1969892248310,106778417827,219138378,425795584
wasm_interpreted,22,2025-02-02T17:12:57.474840,17443152793423,19262432367499,10913629384070,8533443007,3868283,9984404923551,2054248481495,111745648933,276164101,448618496
wasm_interpreted,23,2025-02-02T17:27:12.841946,18220929487503,19995451409615,11322921430449,8816313334,3977604,10341530378284,2123445680411,116044456227,267372295,434585600
wasm_interpreted,24,2025-02-02T17:41:25.269505,19008445290490,20803561117441,11779958577355,9125837006,4087060,10787352418259,2206866689426,121050713292,270893852,455872512
docker_container,25,2025-02-02T17:55:49.219154,27238334464,24117593384,5284034660,48520269,88203,12875216879,3932254548,99758725,154870075,243929088
docker_container_and_daemon,25,2025-02-02T17:55:49.219154,78473904871,62024963792,19962390323,106576212,93514,29752400425,9188478963,295424825,258083499,297472000
wasm_interpreted,25,2025-02-02T17:56:45.449796,19759449700958,21652221274021,12272726956718,9452615389,4196538,11224770869370,2293139571874,126114146221,272745780,459038720
wasm_aot,15,2025-02-02T18:11:13.043326,19820693893294,21703880215092,12284327733231,9528584476,4298555,11251809163647,2302430566990,126264429529,359909061,438370304
wasm_aot,16,2025-02-02T18:11:53.869071,19892731526907,21766580285627,12295016511226,9608537341,4401825,11277886950813,2312159371580,126397079366,359687509,436903936
docker_container,26,2025-02-02T18:12:38.090822,57262087832,49960851233,10790465709,66204869,99595,23979255119,8988181415,132209272,149322516,275423232
docker_container_and_daemon,26,2025-02-02T18:12:38.090822,107775588837,89381905140,20293233576,78553029,105514,40287383057,14336423522,226010486,257207979,321449984
wasm_aot,17,2025-02-02T18:13:38.405046,19974094315999,21834005920420,12306772657552,9702188580,4507046,11311482414034,2323800432473,126586789814,325423104,421023744
wasm_interpreted,26,2025-02-02T18:14:29.541647,20640046354411,22858108236783,12867975110795,10065813481,4616641,11795207297116,2432625578216,132509119927,274477505,443936768
