experiment_type,trial_number,start_time,wall-time-seconds
wasm_interpreted,32,2025-02-01T17:44:43.640305,34.82
wasm_interpreted,33,2025-02-01T17:45:18.468446,34.77
wasm_interpreted,34,2025-02-01T17:45:53.248146,34.76
wasm_interpreted,35,2025-02-01T17:46:28.019542,34.62
wasm_aot,33,2025-02-01T17:47:02.646295,8.87
docker,36,2025-02-01T17:47:11.530227,11.21
docker,37,2025-02-01T17:47:23.060729,9.9
wasm_aot,34,2025-02-01T17:47:33.140205,9.07
docker,38,2025-02-01T17:47:42.224641,10.88
docker,39,2025-02-01T17:47:53.293193,10.48
wasm_aot,35,2025-02-01T17:48:03.992547,9.24
docker,40,2025-02-01T17:48:13.240750,11.28
wasm_interpreted,36,2025-02-01T17:48:24.725517,35.53
wasm_interpreted,37,2025-02-01T17:49:00.271121,34.74
wasm_interpreted,38,2025-02-01T17:49:35.020777,34.72
wasm_aot,36,2025-02-01T17:50:09.747236,9.19
docker,41,2025-02-01T17:50:18.944969,11.39
wasm_interpreted,39,2025-02-01T17:50:30.591946,34.97
wasm_aot,37,2025-02-01T17:51:05.579786,8.97
docker,42,2025-02-01T17:51:14.562607,11.4
wasm_interpreted,40,2025-02-01T17:51:26.161617,34.97
wasm_aot,38,2025-02-01T17:52:01.144079,9.04
wasm_interpreted,41,2025-02-01T17:52:10.198717,35.18
docker,43,2025-02-01T17:52:45.385816,11.54
wasm_aot,39,2025-02-01T17:52:57.152492,9.11
wasm_interpreted,42,2025-02-01T17:53:06.274109,35.09
wasm_aot,40,2025-02-01T17:53:41.373622,9.04
wasm_interpreted,43,2025-02-01T17:53:50.427238,34.95
wasm_aot,41,2025-02-01T17:54:25.384938,9.01
wasm_aot,42,2025-02-01T17:54:34.408212,9.11
docker,44,2025-02-01T17:54:43.532000,11.56
docker,45,2025-02-01T17:54:55.279935,10.38
wasm_aot,43,2025-02-01T17:55:05.875180,9.24
wasm_interpreted,44,2025-02-01T17:55:15.123150,34.98
wasm_interpreted,45,2025-02-01T17:55:50.112809,35.07
docker,46,2025-02-01T17:56:25.193444,11.87
wasm_aot,44,2025-02-01T17:56:37.269740,9.55
wasm_aot,45,2025-02-01T17:56:46.828551,9.28
wasm_aot,46,2025-02-01T17:56:56.115054,9.24
wasm_interpreted,46,2025-02-01T17:57:05.363154,34.95
docker,47,2025-02-01T17:57:40.320150,11.5
wasm_aot,47,2025-02-01T17:57:52.041614,9.26
wasm_interpreted,47,2025-02-01T17:58:01.310902,34.99
docker,48,2025-02-01T17:58:36.313982,11.44
docker,49,2025-02-01T17:58:47.951267,10.13
wasm_interpreted,48,2025-02-01T17:58:58.288499,35.21
docker,50,2025-02-01T17:59:33.508194,10.74
wasm_interpreted,49,2025-02-01T17:59:44.441628,35.39
wasm_interpreted,50,2025-02-01T18:00:19.842613,34.94
wasm_aot,48,2025-02-01T18:00:54.797526,9.08
wasm_aot,49,2025-02-01T18:01:03.884969,9.03
wasm_aot,50,2025-02-01T18:01:12.923624,9.45
