experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
wasm_aot,10,2025-02-08T22:59:30.098200,,,,,3078204,,,,149041152,149041152
docker_container,18,2025-02-08T22:59:33.248347,,,,,502,,,,3416064,3416064
docker_container_and_daemon,18,2025-02-08T22:59:33.248347,,,,,,,,,56496128,56496128
wasm_aot,11,2025-02-08T22:59:36.586171,,,,,3169975,,,,149598208,149598208
wasm_interpreted,19,2025-02-08T22:59:40.015328,,,,,3224138,,,,162247680,172056576
wasm_aot,12,2025-02-08T22:59:51.416376,,,,,3245747,,,,87740416,87740416
docker_container,19,2025-02-08T22:59:53.270387,,,,,647,,,,4743168,4743168
docker_container_and_daemon,19,2025-02-08T22:59:53.270387,,,,,,,,,57622528,57622528
wasm_aot,13,2025-02-08T22:59:56.532612,,,,,3403973,,,,149532672,149532672
docker_container,20,2025-02-08T23:00:01.545190,,,,,82,,,,2334720,2334720
docker_container_and_daemon,20,2025-02-08T23:00:01.545190,,,,,,,,,55615488,55615488
docker_container,21,2025-02-08T23:00:05.219347,,,,,564,,,,4407296,4407296
docker_container_and_daemon,21,2025-02-08T23:00:05.219347,,,,,,,,,57913344,57913344
docker_container,22,2025-02-08T23:00:08.435290,,,,,648,,,,3162112,3162112
docker_container_and_daemon,22,2025-02-08T23:00:08.435290,,,,,,,,,56397824,56397824
wasm_aot,14,2025-02-08T23:00:11.609310,,,,,3549035,,,,166301696,166301696
wasm_interpreted,20,2025-02-08T23:00:16.314163,,,,,3600785,,,,174775808,194191360
wasm_interpreted,21,2025-02-08T23:00:28.234413,,,,,3646297,,,,172150784,172150784
wasm_aot,15,2025-02-08T23:00:40.048505,,,,,3740483,,,,160219136,160219136
wasm_interpreted,22,2025-02-08T23:00:43.329980,,,,,3788667,,,,172138496,172138496
wasm_aot,16,2025-02-08T23:00:55.239888,,,,,3882193,,,,157745152,157745152
docker_container,23,2025-02-08T23:00:58.356189,,,,,254,,,,4808704,4808704
docker_container_and_daemon,23,2025-02-08T23:00:58.356189,,,,,,,,,58339328,58339328
wasm_aot,17,2025-02-08T23:01:02.118630,,,,,4013563,,,,146538496,146538496
docker_container,24,2025-02-08T23:01:07.255047,,,,,30157,,,,62672896,117174272
docker_container_and_daemon,24,2025-02-08T23:01:07.255047,,,,,,,,,61456384,61456384
wasm_aot,18,2025-02-08T23:01:10.426981,,,,,4071472,,,,139444224,181161984
wasm_aot,19,2025-02-08T23:01:12.259177,,,,,4252658,,,,172482560,172482560
wasm_interpreted,23,2025-02-08T23:01:18.357042,,,,,4297876,,,,173968384,186777600
wasm_aot,20,2025-02-08T23:01:30.298804,,,,,4319263,,,,86654976,86654976
docker_container,25,2025-02-08T23:01:31.759290,,,,,411,,,,3461120,3461120
docker_container_and_daemon,25,2025-02-08T23:01:31.759290,,,,,,,,,56975360,56975360
docker_container,26,2025-02-08T23:01:35.066261,,,,,162,,,,2146304,2146304
docker_container_and_daemon,26,2025-02-08T23:01:35.066261,,,,,,,,,56266752,56266752
wasm_aot,21,2025-02-08T23:01:41.860964,,,,,4370525,,,,105664512,105664512
wasm_aot,22,2025-02-08T23:01:43.484038,,,,,4615634,,,,149909504,149909504
docker_container,27,2025-02-08T23:01:51.320433,,,,,233,,,,4366336,4366336
docker_container_and_daemon,27,2025-02-08T23:01:51.320433,,,,,,,,,58466304,58466304
wasm_interpreted,24,2025-02-08T23:01:54.509134,,,,,4669707,,,,172134400,172134400
wasm_aot,23,2025-02-08T23:02:06.280405,,,,,4828869,,,,87863296,87863296
docker_container,28,2025-02-08T23:02:12.867433,,,,,548,,,,3559424,3559424
docker_container_and_daemon,28,2025-02-08T23:02:12.867433,,,,,,,,,57462784,57462784
docker_container,29,2025-02-08T23:02:16.187096,,,,,396,,,,3493888,3493888
docker_container_and_daemon,29,2025-02-08T23:02:16.187096,,,,,,,,,57667584,57667584
wasm_interpreted,25,2025-02-08T23:02:19.302366,,,,,4903660,,,,172138496,172138496
wasm_interpreted,26,2025-02-08T23:02:31.219379,,,,,4954285,,,,172130304,172130304
docker_container,30,2025-02-08T23:02:42.941395,,,,,384,,,,5087232,5087232
docker_container_and_daemon,30,2025-02-08T23:02:42.941395,,,,,,,,,59854848,59854848
wasm_aot,24,2025-02-08T23:02:46.116876,,,,,5271305,,,,148217856,148217856
wasm_aot,25,2025-02-08T23:02:57.552889,,,,,5323005,,,,158277632,158277632
wasm_aot,26,2025-02-08T23:02:59.236340,,,,,5413315,,,,151912448,151912448
wasm_aot,27,2025-02-08T23:03:02.313877,,,,,5500571,,,,148975616,148975616
wasm_aot,28,2025-02-08T23:03:05.598961,,,,,5620901,,,,98607104,98607104
wasm_aot,29,2025-02-08T23:03:10.611806,,,,,5739184,,,,172363776,172363776
wasm_aot,30,2025-02-08T23:03:14.297363,,,,,5782374,,,,161697792,161697792
wasm_interpreted,27,2025-02-08T23:03:15.916480,,,,,5830203,,,,172138496,172138496
wasm_interpreted,28,2025-02-08T23:03:28.418592,,,,,5880770,,,,164221440,172142592
wasm_interpreted,29,2025-02-08T23:03:40.181575,,,,,5931479,,,,172138496,172138496
wasm_interpreted,30,2025-02-08T23:03:51.728978,,,,,5982146,,,,172142592,172142592
wasm_interpreted,31,2025-02-08T23:04:04.071631,,,,,6032770,,,,172146688,172146688
