experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
docker_container_and_daemon,9,2025-02-01T13:53:02.737386,1052020277,10422702679,275056332,25452755,13058,748726982,139008843,15591408,79555243,99020800
docker_container,10,2025-02-01T13:53:08.759118,955879835,3574026778,329490238,6333260,8478,918406441,137964079,10745588,19558400,36864000
docker_container_and_daemon,10,2025-02-01T13:53:08.759118,2317121293,5420675074,802797658,9957274,12718,1408789709,318759757,16532035,78200832,101085184
docker_container,11,2025-02-01T13:53:15.119804,422148583,1088265821,142897143,2990731,5769,636193488,86272271,52040294,12836864,23683072
docker_container_and_daemon,11,2025-02-01T13:53:15.119804,713332951,1887596675,246800434,6040962,8692,1694229564,189865869,79751445,80700757,87961600
wasm_interpreted,12,2025-02-01T13:53:21.299596,407213505632,488583117847,246645622624,521074404,633217,243065581168,45563022973,3988488513,128328850,131780608
docker_container,12,2025-02-01T13:53:55.758196,1147490879,2222399926,427620059,7894150,9241,1022533667,143755266,22960690,31484587,59326464
docker_container_and_daemon,12,2025-02-01T13:53:55.758196,1434363599,2777999908,534525074,12852229,11549,1278167084,179694082,34358531,95905792,123138048
wasm_aot,12,2025-02-01T13:54:03.107521,417622325176,499210729393,249025142196,550868730,681032,248091327457,46518332297,4118010071,116322304,116322304
docker_container,13,2025-02-01T13:54:10.057724,332379144,618895226,175755825,2431940,6289,276603680,42493338,9145207,13250560,25260032
docker_container_and_daemon,13,2025-02-01T13:54:10.057724,1440712630,943882638,418629656,3764678,9413,422565756,309013556,13815340,76447744,88457216
wasm_aot,13,2025-02-01T13:54:22.437497,422377694191,504272986830,249673479716,568559494,709920,250909441437,47017666765,4180277697,133750784,133750784
wasm_aot,14,2025-02-01T13:54:26.320386,425410213153,507923161675,250864934723,579662524,728961,253133886410,47339599250,4228087022,98045952,115425280
wasm_aot,15,2025-02-01T13:54:29.824998,427493088905,511757447969,251156206722,591457781,752348,255301984217,47658995927,4275053582,96339968,118992896
