experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
wasm_interpreted,12,2025-02-02T03:30:20.435585,1621475254831,1503345652889,461823685464,1795645357,2235449,745003989283,239101862036,6377741505,280253807,411881472
wasm_aot,10,2025-02-02T03:31:39.197284,1693439917205,1563292836124,475840706099,1874900673,2338364,775861612555,250824244442,6542936953,334180352,395227136
wasm_interpreted,13,2025-02-02T03:32:21.995327,1782535016164,1645261941382,508579704474,1966385279,2447208,825961400211,266934893170,6954198506,278717930,411922432
wasm_aot,11,2025-02-02T03:33:36.990868,1864502208741,1712068217967,523798028394,2047073819,2548784,858794180895,279719425007,7109131999,348148258,398557184
wasm_interpreted,14,2025-02-02T03:34:26.054297,1969205422682,1805728391777,558488257904,2157435402,2659334,913701007494,294652236256,7473723109,278331547,413650944
wasm_aot,12,2025-02-02T03:35:48.409471,2055104318540,1872553276031,575091961318,2242034646,2762074,949242110667,308497283350,7630896314,342271934,402694144
wasm_aot,13,2025-02-02T03:36:38.648782,2138434759086,1942284971033,589760473686,2328214586,2885347,983417885643,321880594920,7808441056,337405542,393580544
wasm_aot,14,2025-02-02T03:37:33.763437,2214848569763,2004952681740,604417439064,2411779736,2988385,1015690704395,334153257085,7971955666,298140573,371482624
wasm_interpreted,15,2025-02-02T03:38:29.191706,2320838237107,2104289716927,637290913067,2510838895,3097358,1064921611635,350330619216,8340312724,285994862,415084544
wasm_interpreted,16,2025-02-02T03:39:56.656844,2440907496321,2205986305939,670479698504,2608835800,3206380,1110431249329,366068092440,8750337682,284072569,402317312
wasm_interpreted,17,2025-02-02T03:41:20.653073,2554208292898,2306781597312,702997536179,2695706342,3314836,1162675490023,383350995739,9135401674,297254193,430895104
wasm_interpreted,18,2025-02-02T03:42:46.084936,2666142694513,2406282573303,735060387638,2793851586,3424124,1210490056351,398886256032,9520069793,278406088,406511616
docker_container,10,2025-02-02T03:44:06.085948,84221139254,70331148124,14945660645,80728051,84279,33807761611,14092590089,166094990,171710805,342208512
docker_container_and_daemon,10,2025-02-02T03:44:06.085948,94363700045,76753932304,17049300226,89991633,94004,46806454097,16694002750,240988283,282364562,379043840
wasm_aot,15,2025-02-02T03:45:15.137693,2743678537905,2472735702409,750576977580,2876849487,3527056,1245489530593,412454111314,9695519390,359500564,388702208
docker_container,11,2025-02-02T03:46:08.289718,79883374687,65181331561,14259820772,77999192,84456,33768890118,13517271224,151351187,130198187,344092672
docker_container_and_daemon,11,2025-02-02T03:46:08.289718,91372449846,72670697918,16454701825,93335309,95202,38505727446,15360986801,214189644,255728494,386899968
docker_container,12,2025-02-02T03:47:15.721403,85830317446,68240824338,15326364375,86025100,86000,35259211993,13817278983,156068725,104978725,276762624
docker_container_and_daemon,12,2025-02-02T03:47:15.721403,98233252859,77863448224,17199854556,99182564,95859,40153989673,15453827172,178504932,214875101,320651264
wasm_interpreted,19,2025-02-02T03:48:20.239485,2855610219476,2565592676805,781531988060,2971567057,3636480,1290563024490,427178558880,10063717680,281930957,387989504
wasm_aot,16,2025-02-02T03:49:49.730918,2939813948948,2631183579091,796669878572,3056791359,3739540,1324683301379,440123227156,10228132566,323293184,393531392
docker_container,13,2025-02-02T03:50:41.842687,82406735705,68620488227,15043726615,81197925,84299,32815384619,13858239876,161942804,154202931,349659136
docker_container_and_daemon,13,2025-02-02T03:50:41.842687,99096880617,80404855437,18189253462,93775095,95210,37658943799,16072179480,205924486,275836641,393900032
wasm_interpreted,20,2025-02-02T03:51:51.088757,3052137365650,2732313912744,830942751156,3161539621,3849382,1376909404338,456849468162,10608405598,292551557,398426112
wasm_aot,17,2025-02-02T03:53:20.485137,3134915701235,2801919957240,845968224359,3243531923,3952378,1412412518398,471079950716,10776662088,319269508,382894080
wasm_interpreted,21,2025-02-02T03:54:15.844754,3239827071924,2906803579525,878652053982,3348505667,4061437,1465615608519,487938957456,11159124666,295819021,408551424
wasm_interpreted,22,2025-02-02T03:55:44.354797,3351417604165,3004225207769,911719304861,3436367436,4170217,1512386500641,504016371204,11568543545,281037351,412024832
docker_container,14,2025-02-02T03:57:09.084971,77349755582,62039832327,14040557883,83837512,83467,31087837137,12963898289,143462734,157340558,355708928
docker_container_and_daemon,14,2025-02-02T03:57:09.084971,89314887939,70836418390,16365993785,97016230,100192,35091936128,14844122881,167583404,280139813,397471744
wasm_interpreted,23,2025-02-02T03:58:17.091476,3455482715916,3112891855933,949896968665,3534377673,4279042,1566389190942,521905082958,11988523842,277199945,412209152
docker_container,15,2025-02-02T03:59:45.289272,83335959740,69670924506,15106719362,81948301,84123,33429820263,13987175003,159198590,151249268,360865792
docker_container_and_daemon,15,2025-02-02T03:59:45.289272,93581246397,85638382066,18322627447,175422366,95070,37965471645,15732831282,235992217,289378962,404500480
wasm_interpreted,24,2025-02-02T04:00:53.556562,3572762250154,3213576497600,984009317438,3633489546,4387958,1621506395290,539629091040,12387818251,283012754,411762688
docker_container,16,2025-02-02T04:02:23.684235,87453003474,68264283787,15869914798,86365512,84409,34908184592,13693097538,155137402,168593881,347881472
docker_container_and_daemon,16,2025-02-02T04:02:23.684235,125805871422,84287515329,18097337490,104602218,92744,38370433546,26933855191,213203185,306994984,388956160
docker_container,17,2025-02-02T04:03:34.370525,83089030563,67513478463,15133188953,84651955,85555,33379996232,13917445927,153219413,160876544,345841664
docker_container_and_daemon,17,2025-02-02T04:03:34.370525,137583720316,110858635146,21525283628,93012588,92640,35844474729,19414265990,182868546,281972590,379932672
wasm_aot,18,2025-02-02T04:04:36.826656,3658370505515,3284451793927,999495659734,3720943521,4490916,1656044131347,554166343116,12565120431,337274694,404635648
wasm_interpreted,25,2025-02-02T04:05:33.665296,3773343766923,3386945697291,1033703487186,3825469970,4599260,1707996542118,570527493541,12949161681,294175812,413982720
wasm_aot,19,2025-02-02T04:07:02.104906,3855186811573,3452599182269,1048173984893,3908189412,4702662,1739441225148,583407039345,13105601522,338040109,400953344
wasm_aot,20,2025-02-02T04:07:53.040808,3940390499291,3522511557318,1063219539172,3988506858,4803844,1773465037275,596936510328,13259524171,338795098,410644480
docker_container,18,2025-02-02T04:08:45.646483,80822987649,65047500665,14930760067,82877156,84072,33647014197,13234472141,147912892,152272896,352997376
docker_container_and_daemon,18,2025-02-02T04:08:45.646483,90725360975,78312311097,16635355149,96320471,94183,36984686608,15027616729,227930395,270141659,395395072
wasm_aot,21,2025-02-02T04:09:53.667991,4023019069545,3593265059187,1077745790823,4074532979,4908354,1807640232110,610860466044,13438581844,380643100,411758592
docker_container,19,2025-02-02T04:10:47.711667,86668015858,71272665674,15708722889,82382742,84189,34267156231,13925339713,153953653,151919730,360067072
docker_container_and_daemon,19,2025-02-02T04:10:47.711667,96437617332,77992986891,18420872110,107849666,94384,39469228752,15403867285,242254105,291645961,400424960
wasm_aot,22,2025-02-02T04:11:58.662333,4107195600312,3662361288962,1092577762342,4159581937,5011227,1840649271300,624305312194,13612295661,367283617,402505728
docker_container,20,2025-02-02T04:12:52.523899,81968343623,66130816478,14567636640,78458665,83236,31870872162,13018732657,137376644,128742741,349286400
docker_container_and_daemon,20,2025-02-02T04:12:52.523899,96816002748,79814933202,17711966412,137365253,95343,38158467161,15468581125,262517761,257117111,389767168
docker_container,21,2025-02-02T04:13:59.991747,83526373160,68613561982,15416332264,82544684,85652,34103667620,14310073152,165725144,143007744,344162304
docker_container_and_daemon,21,2025-02-02T04:13:59.991747,114877847889,94894815296,18572542195,101438383,93160,40088423232,16662021748,183054063,215712606,388370432
wasm_aot,23,2025-02-02T04:15:05.014071,4190287810996,3730893951202,1107040430130,4241644260,5113644,1875168179609,638028325626,13769568942,369524326,402849792
wasm_interpreted,26,2025-02-02T04:16:01.181285,4307109649807,3834089392157,1140461520844,4347576884,5232472,1929149488059,655867779167,14162473779,284342979,402702336
wasm_aot,24,2025-02-02T04:17:30.669075,4379746477295,3895965826158,1154347528413,4427826914,5346753,1960357154015,668215143932,14325792851,333657253,400551936
wasm_interpreted,27,2025-02-02T04:18:19.934105,4487985058677,3992218606777,1186380721969,4526033707,5453819,2008060919631,684355761472,14676792129,294288346,424689664
wasm_aot,25,2025-02-02T04:19:43.933241,4572352458233,4061305288347,1201257890677,4608398797,5556155,2041112367257,697818715065,14831487804,343429602,413241344
docker_container,22,2025-02-02T04:20:35.125133,86150528512,69623776855,15006642989,79884217,83294,33538532431,14230688438,155419442,163867034,348127232
docker_container_and_daemon,22,2025-02-02T04:20:35.125133,96113195305,81741032496,17393676573,122623928,93760,37443997790,16697051689,285864729,287472675,389591040
wasm_interpreted,28,2025-02-02T04:21:44.986345,4673980977799,4151857449280,1234630690743,4708015216,5666510,2089695614243,712961858086,15186845218,283922963,420306944
wasm_aot,26,2025-02-02T04:23:11.933231,4759988049548,4221052643147,1249817690545,4786819667,5768524,2125195724222,726935050643,15338415776,349024841,402599936
wasm_aot,27,2025-02-02T04:24:05.413708,4841663151455,4284624152252,1265216772670,4870383355,5870581,2158620117946,740047912353,15493281792,348504474,422686720
wasm_aot,28,2025-02-02T04:24:55.526212,4923818199208,4347755350572,1280291936729,4957409217,5973085,2190150743199,752537613129,15635140515,342211584,420581376
wasm_interpreted,29,2025-02-02T04:25:46.190120,5031162636226,4443470752575,1313887019509,5065298549,6083260,2242067039011,769246697494,16033372578,291679660,429518848
