"metric","docker-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","17,354.27-37,439.27","69,205.02-87,559.18","True","2.38x-3.34x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","6.61-93.50","-2.83-146.93","False","-0.25x-3.13x"
"minor-faults","17,350.34-37,396.31","69,139.54-87,484.66","True","2.38x-3.34x"
"avg-memory-over-time-in-bytes","33,695,263.69-79,133,657.48","176,269,215.46-243,107,526.94","True","3.02x-4.41x"
"max-memory-over-time-in-bytes","76,515,142.91-162,237,010.69","243,324,508.05-310,070,487.15","True","1.88x-2.76x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","2.28-2.69","1.46-1.67","True","1.45x-1.73x"
