"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","3,913.51-25,767.19","446.50-13,774.73","False","0.33x-3.84x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","-27.87-79.07","-14.88-67.37","False","-1.53x-3.58x"
"minor-faults","3,906.38-25,727.52","434.86-13,703.01","False","0.34x-3.86x"
"avg-memory-over-time-in-bytes","9,654,203.07-70,157,790.53","2,115,230.02-30,190,292.57","False","0.45x-4.50x"
"max-memory-over-time-in-bytes","11,075,373.11-84,332,754.89","3,505,206.09-56,476,617.91","False","0.13x-3.05x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","0.99-1.16","1.88-2.13","True","1.73x-2.00x"
