"metric","docker-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","4,491.12-21,470.52","9,121.64-35,494.26","False","0.54x-2.89x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","-1.00-116.83","-3.58-28.28","False","-0.21x-9.59x"
"minor-faults","4,455.91-21,373.19","9,116.93-35,474.17","False","0.55x-2.91x"
"avg-memory-over-time-in-bytes","12,545,844.46-45,811,028.08","25,272,015.58-100,117,603.62","False","0.77x-3.53x"
"max-memory-over-time-in-bytes","23,768,921.64-98,184,153.56","42,364,382.75-139,391,930.85","False","0.52x-2.46x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","1.95-2.10","1.08-1.10","True","1.80x-1.94x"
