"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","7,472.71-26,996.59","2,819.24-17,563.81","False","0.53x-2.85x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","-16.84-78.04","-13.02-82.32","False","-0.99x-3.26x"
"minor-faults","7,442.69-26,968.41","2,779.46-17,468.49","False","0.53x-2.87x"
"avg-memory-over-time-in-bytes","25,735,934.67-84,801,178.93","7,145,717.62-33,952,631.60","True","1.14x-4.24x"
"max-memory-over-time-in-bytes","27,255,768.46-90,180,647.54","12,592,730.75-71,993,765.25","False","0.40x-2.38x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","1.00-1.19","2.15-2.72","True","1.95x-2.50x"
