experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
wasm_aot,1,2025-02-17T15:48:31.372649,68376225474.0,58383697842.0,11994309912.0,64473837.0,54001.0,29317639970.0,10855898036.0,225355685.0,0.0,54001.0,152245733.05,169930752.0,53.33,51.33,1.88
native,1,2025-02-17T15:49:04.346906,85841934630.0,69502910453.0,15288578231.0,70527290.0,24054.0,34092860899.0,14002299878.0,187420139.0,0.0,24054.0,76405366.15,83374080.0,53.91,52.19,1.69
wasm_aot,2,2025-02-17T15:49:43.192330,88223851964.0,68082221607.0,16150955740.0,71081826.0,53695.0,34180068871.0,13487348279.0,186730179.0,0.0,53695.0,124796600.32,132157440.0,53.07,50.94,2.11
native,2,2025-02-17T15:50:23.238195,75059486252.0,61215994258.0,13747284389.0,67929368.0,24701.0,30864812409.0,12612095932.0,192253647.0,0.0,24701.0,108430914.78,116727808.0,50.71,48.93,1.75
wasm_aot,3,2025-02-17T15:51:01.501940,90155511686.0,72547138159.0,16619384458.0,75954403.0,54606.0,37252641203.0,14443534152.0,177694459.0,0.0,54606.0,129923949.71,145043456.0,52.3,50.51,1.76
native,3,2025-02-17T15:51:44.926788,95788520671.0,75998135693.0,17799003221.0,79154533.0,24717.0,38132630267.0,15486359640.0,190210201.0,39.0,24678.0,118424681.93,124841984.0,54.0,52.09,1.84
wasm_interpreted,1,2025-02-17T15:52:29.726859,112358752296.0,106306438631.0,34367486025.0,97387545.0,59523.0,53914004678.0,16319998090.0,461169857.0,112.0,59411.0,143532032.0,159682560.0,41.91,40.79,1.07
native,4,2025-02-17T15:53:35.690501,90856007456.0,73023650664.0,16460892197.0,72029458.0,23541.0,36516511383.0,14894189576.0,193581105.0,22.0,23519.0,105294961.78,116826112.0,52.1,50.34,1.74
docker_container,1,2025-02-17T15:54:19.364749,131563217893.0,102085690445.0,24099064781.0,90809519.0,25624.0,53397917945.0,22160184010.0,185713698.0,574.0,25048.0,145761924.74,161857536.0,48.54,45.97,2.57
docker_container_and_daemon,1,2025-02-17T15:54:19.364749,161865326388.91,104454749062.1,24830390167.77,101565842.85,26369.56,54624345713.72,22604387150.15,424557056.01,585.02,25782.56,190436159.07,201523200.0,48.6,45.99,2.6
docker_container,2,2025-02-17T15:55:32.268632,134176638302.0,103919821779.0,23081591639.0,90031951.0,23938.0,51064725741.0,22429840517.0,196197152.0,0.0,23936.0,76386694.1,83521536.0,49.82,47.48,2.34
docker_container_and_daemon,2,2025-02-17T15:55:32.268632,138056175295.22,107042179343.21,23874687050.42,136404383.89,24713.04,52594572404.28,23852345344.32,526453666.14,1.02,24880.68,118807973.65,124022784.0,49.97,47.54,2.43
wasm_interpreted,2,2025-02-17T15:56:44.128283,125154972507.0,105076691204.0,36549399588.0,98931187.0,60481.0,50103629148.0,16853288901.0,427221070.0,642.0,59839.0,187708144.33,218984448.0,40.06,38.82,1.23
wasm_interpreted,3,2025-02-17T15:57:58.192702,112302238171.0,106571882456.0,32072776281.0,85170220.0,59966.0,48561643070.0,17113941826.0,419312404.0,267.0,59699.0,155916644.17,173195264.0,40.82,39.61,1.2
wasm_interpreted,4,2025-02-17T15:59:07.168582,102879848308.0,92241212906.0,32120480044.0,82255472.0,59447.0,48993362352.0,16674874958.0,385307357.0,78.0,59369.0,159737563.43,176709632.0,40.93,39.74,1.19
native,5,2025-02-17T16:00:17.339353,106130314461.0,81004626576.0,18633694627.0,77937956.0,24945.0,40524172198.0,16820444758.0,194485326.0,21.0,24924.0,82009600.0,88780800.0,54.86,52.91,1.93
wasm_aot,4,2025-02-17T16:01:06.074978,99399103631.0,78165935139.0,17767736501.0,78660453.0,54061.0,39044947444.0,15754061378.0,173620534.0,44.0,54017.0,127446784.0,137605120.0,52.67,50.53,2.13
wasm_aot,5,2025-02-17T16:01:53.835978,104137023032.0,81230509806.0,18735306487.0,79469600.0,53997.0,41550327847.0,16648397966.0,183752807.0,0.0,53997.0,129614336.0,133390336.0,55.2,53.15,1.88
docker_container,3,2025-02-17T16:02:43.911936,134643377863.0,101361819880.0,23527824967.0,94057288.0,25205.0,50920073497.0,21378177380.0,188815148.0,540.0,24665.0,148713156.92,172040192.0,45.09,42.77,2.33
docker_container_and_daemon,3,2025-02-17T16:02:43.911936,138992507619.17,104852043923.74,24144855116.78,113223939.72,27735.48,52061639307.08,21905016488.43,347635971.97,571.44,27155.76,199230376.23,211169280.0,45.23,42.81,2.42
docker_container,4,2025-02-17T16:04:00.258614,121773583724.0,94172377138.0,21616443183.0,86303080.0,24694.0,47091560878.0,19507899661.0,177292561.0,0.0,24689.0,77762816.0,87977984.0,46.51,44.22,2.29
docker_container_and_daemon,4,2025-02-17T16:04:00.258614,127848863658.62,97999516142.98,22761448947.48,112797630.4,25887.73,48759129218.73,20388765161.95,218497113.09,1.03,25881.73,123126939.15,128389120.0,46.64,44.25,2.39
docker_container,5,2025-02-17T16:05:10.071762,110923911313.0,84911395053.0,19040743219.0,78870351.0,21542.0,42248603425.0,17790424359.0,169342985.0,0.0,21541.0,78373137.07,88772608.0,44.14,41.9,2.24
docker_container_and_daemon,5,2025-02-17T16:05:10.071762,115285001011.46,88130712278.89,19853750376.61,101052713.15,22341.16,46073793490.93,18834599215.27,234987902.74,0.0,22340.19,126050832.52,129822720.0,44.29,41.93,2.36
wasm_interpreted,5,2025-02-17T16:06:16.937736,122645118102.0,99410985436.0,37580235639.0,91138148.0,61303.0,51196653302.0,18545242793.0,416297008.0,220.0,61083.0,169390080.0,197173248.0,40.3,38.99,1.3
