experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
wasm_interpreted,2,2025-02-17T17:55:51.266062,157146689501.0,134294946842.0,42878100067.0,119605406.0,74909.0,74253050659.0,26701069866.0,474590450.0,113.0,74796.0,189920751.48,208723968.0,44.64,43.28,1.36
docker_container,10,2025-02-17T17:57:24.532631,152292363736.0,118243848873.0,26667744859.0,109443906.0,30963.0,59317077399.0,25118294026.0,215604895.0,539.0,30424.0,175612074.67,202379264.0,45.65,43.29,2.37
docker_container_and_daemon,10,2025-02-17T17:57:24.532631,158031520665.15,122093641708.53,27753869042.89,144066148.23,32646.51,61254646353.32,26159683144.43,317757640.81,554.85,32089.62,224779468.8,239415296.0,45.77,43.34,2.43
wasm_interpreted,3,2025-02-17T17:58:53.630868,161973096228.0,128936080025.0,44296866998.0,119571661.0,72446.0,65623261802.0,24516984434.0,444843977.0,489.0,71957.0,202354063.19,224145408.0,43.77,42.31,1.46
wasm_interpreted,4,2025-02-17T18:00:23.983622,168034031932.0,147340120234.0,41606478061.0,115402244.0,72355.0,67543137464.0,25063215128.0,418501368.0,0.0,72355.0,184449092.27,198733824.0,44.57,43.15,1.47
wasm_interpreted,5,2025-02-17T18:01:54.733100,151818488502.0,128950757243.0,40571274804.0,113475966.0,73527.0,68153912901.0,23925301773.0,463616616.0,0.0,73527.0,193157501.83,207765504.0,44.57,43.15,1.4
native,4,2025-02-17T18:03:22.194483,134112182587.0,105972325397.0,23756845870.0,105629828.0,27831.0,52017984431.0,21675958790.0,222637953.0,20.0,27811.0,110101126.74,117313536.0,53.97,52.01,1.94
wasm_aot,6,2025-02-17T18:04:25.026057,136083642314.0,106450718167.0,24466371376.0,106968917.0,66786.0,51389994124.0,21620774255.0,208235757.0,116.0,66670.0,152576877.71,186118144.0,55.16,52.91,2.24
wasm_aot,7,2025-02-17T18:05:28.284835,151562078519.0,116458428718.0,26220088059.0,107482844.0,68723.0,56165399138.0,23865837087.0,212502334.0,0.0,68723.0,161839695.64,187920384.0,54.63,52.32,2.3
native,5,2025-02-17T18:06:37.595374,148311616308.0,115245463952.0,25797767273.0,103844559.0,27843.0,57991322351.0,24169801881.0,208653397.0,2.0,27841.0,92458356.36,95748096.0,54.42,52.34,2.01
native,6,2025-02-17T18:07:46.224557,148502807680.0,112340246939.0,25807738443.0,106650085.0,29135.0,54988796718.0,23263747216.0,211503327.0,0.0,29135.0,97820957.77,101027840.0,55.41,53.4,1.94
wasm_interpreted,6,2025-02-17T18:08:54.480412,162690045844.0,137753524009.0,44662984371.0,123604303.0,71213.0,70408089322.0,25139089214.0,450282071.0,0.0,71213.0,162261965.64,172175360.0,44.53,43.3,1.38
wasm_interpreted,7,2025-02-17T18:10:27.208763,149269942823.0,125381832894.0,39217062675.0,113573992.0,74411.0,61296217907.0,23468461041.0,411110040.0,0.0,74411.0,185162266.95,203939840.0,44.75,43.41,1.33
wasm_aot,8,2025-02-17T18:11:54.132894,145481566222.0,111118777359.0,26011506560.0,108892413.0,65515.0,57492372815.0,24183554004.0,219704472.0,0.0,65515.0,173925776.7,209477632.0,52.37,50.21,2.15
docker_container,11,2025-02-17T18:13:03.497873,173073758188.0,134365436662.0,30177581100.0,117644855.0,29102.0,67018750265.0,28134565069.0,227552621.0,401.0,28702.0,151657889.19,173395968.0,49.29,46.71,2.58
docker_container_and_daemon,11,2025-02-17T18:13:03.497873,179036859370.49,141152835955.79,31565948558.35,139263144.69,29661.65,70423119162.26,29310163718.26,341064148.12,408.71,29253.96,200785166.71,210362368.0,49.32,46.72,2.6
docker_container,12,2025-02-17T18:14:35.370275,169787843161.0,129816921989.0,30181045924.0,118718680.0,27865.0,65320961327.0,26864388780.0,205447918.0,0.0,27852.0,91670272.0,103596032.0,53.27,50.66,2.61
docker_container_and_daemon,12,2025-02-17T18:14:35.370275,179109204117.7,137405067719.38,31840533656.65,136003415.38,29146.31,68334667526.27,28436772822.1,369796605.83,0.0,29133.31,135934198.75,141328384.0,53.33,50.68,2.65
wasm_interpreted,8,2025-02-17T18:16:02.069226,155789289879.0,132896957228.0,40407815651.0,114605642.0,75778.0,68055325008.0,23990106786.0,428132920.0,110.0,75668.0,198552893.79,230494208.0,44.4,42.99,1.46
wasm_interpreted,9,2025-02-17T18:17:32.747978,148959144178.0,128469951626.0,40242545350.0,116180555.0,76215.0,65391311340.0,23773011202.0,417537514.0,82.0,76133.0,201114749.75,218943488.0,43.49,42.03,1.43
native,7,2025-02-17T18:19:01.368431,144073099805.0,110935667427.0,26023305136.0,103877037.0,27446.0,55491686721.0,23117580877.0,213997595.0,21.0,27425.0,107499426.91,113233920.0,53.73,51.64,2.08
wasm_interpreted,10,2025-02-17T18:20:09.103609,159234164571.0,132510125619.0,41585391216.0,119056156.0,74877.0,65185074966.0,23660025463.0,431822638.0,0.0,74877.0,171216189.79,204021760.0,44.1,42.81,1.45
wasm_aot,9,2025-02-17T18:21:36.203796,141423961765.0,109806898025.0,25469398918.0,104953602.0,68758.0,55425753920.0,22941600803.0,226364336.0,43.0,68715.0,176027554.91,202809344.0,54.58,52.29,2.27
