metric,wasm_aot-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,45558308878.507416-47541104028.69258,358067953734.5011-387188100198.8989,True,7.69x-8.32x
instructions,51650402344.929016-54899121272.570984,311756995508.0218-335226615451.4782,True,5.85x-6.29x
cache-misses,63476051.121520616-66351625.77847939,181704060.16220367-193904495.7377963,True,2.80x-2.99x
cache-references,9729995683.057598-10171178925.942402,190830707916.36694-204392989160.23303,True,19.18x-20.54x
bus-cycles,22360416678.206047-23503559841.49395,179930471415.7701-191803351977.82986,True,7.85x-8.36x
page-faults,54977.10852336264-55951.99147663736,61996.51068942145-62738.08931057856,True,1.11x-1.14x
branch-instructions,7978178607.834865-8428152074.865136,38192497195.38632-40932526127.61368,True,4.65x-4.99x
branch-misses,179755630.1425779-190620645.8574221,1973799757.6500316-2128191065.9499683,True,10.66x-11.49x
major-faults,25.38429705225684-214.71570294774315,-1.1143368865450327-144.91433688654504,False,0.06x-3.28x
minor-faults,54888.301109342785-55800.59889065721,61925.18160381781-62665.71839618219,True,1.12x-1.14x
avg-memory-over-time-in-bytes,134459980.86144733-156652550.82155263,143787288.23526087-161559489.80073908,False,0.95x-1.14x
max-memory-over-time-in-bytes,152786738.24127027-176083149.75872973,170857312.42720115-189127839.57279885,True,1.01x-1.18x
CPU-total-utilization-percentage,48.08742977271325-57.705570227286756,27.49455938237254-27.687440617627463,True,1.74x-2.09x
CPU-user-utilization-percentage,46.10754694250152-55.907453057498465,27.37185272706022-27.56714727293978,True,1.68x-2.04x
CPU-system-utilization-percentage,1.5318930100664845-1.855106989933515,0.1512623743105968-0.16373762568940325,True,9.73x-11.78x
instructions-per-cycle,1.122918377342478-1.1653661776896955,0.8334344246405396-0.9114008407695178,True,1.26x-1.36x
cycles-per-instruction,0.8588484672352432-0.8918381010092908,1.10383684404072-1.2088594893327584,True,1.26x-1.38x
