"metric","wasm_aot-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","62,717,087,589.37-65,657,787,402.13","357,719,787,552.80-389,982,444,678.90","True","5.57x-6.08x"
"instructions","75,509,555,485.11-78,938,353,437.89","321,584,778,794.34-347,929,667,252.96","True","4.16x-4.51x"
"cache-misses","87,716,630.61-90,174,962.09","198,223,489.50-211,303,750.50","True","2.23x-2.38x"
"cache-references","14,078,102,835.39-14,841,884,854.61","190,991,070,897.98-203,701,778,423.02","True","13.21x-14.09x"
"bus-cycles","31,517,763,004.00-33,286,041,450.70","186,346,463,169.17-198,772,438,094.33","True","5.75x-6.14x"
"page-faults","66,404.82-67,577.78","71,709.32-74,696.38","True","1.07x-1.12x"
"branch-instructions","11,786,140,650.55-12,579,153,198.75","41,789,727,758.62-45,218,266,732.38","True","3.43x-3.71x"
"branch-misses","198,653,455.62-205,958,701.08","2,054,283,497.33-2,228,502,039.57","True","10.15x-11.02x"
"major-faults","18.77-209.93","25.44-132.16","False","0.10x-2.81x"
"minor-faults","66,257.01-67,496.89","71,658.59-74,589.41","True","1.07x-1.12x"
"avg-memory-over-time-in-bytes","157,327,574.43-174,709,859.98","162,909,744.15-177,063,773.37","False","0.96x-1.09x"
"max-memory-over-time-in-bytes","190,895,817.47-210,705,104.13","210,640,871.13-225,053,925.67","True","1.03x-1.14x"
"cpu-total-utilization-percentage","55.43-57.30","28.51-28.83","True","1.93x-2.00x"
"cpu-user-utilization-percentage","53.60-55.45","28.32-28.60","True","1.88x-1.95x"
"cpu-system-utilization-percentage","1.76-1.87","0.20-0.24","True","8.10x-8.66x"
"instructions-per-cycle","1.19-1.22","0.86-0.95","True","1.28x-1.39x"
"cycles-per-instruction","0.82-0.84","1.06-1.19","True","1.27x-1.43x"
"wall-time-seconds","12.95-13.61","273.04-273.70","True","20.55x-20.62x"
