"metric","native-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","60,190,095,451.68-62,648,872,350.02","357,719,787,552.80-389,982,444,678.90","True","5.82x-6.35x"
"instructions","72,188,223,327.92-75,845,599,801.08","321,584,778,794.34-347,929,667,252.96","True","4.34x-4.70x"
"cache-misses","82,219,058.34-84,571,413.96","198,223,489.50-211,303,750.50","True","2.38x-2.53x"
"cache-references","13,408,209,438.31-13,976,476,450.59","190,991,070,897.98-203,701,778,423.02","True","13.95x-14.88x"
"bus-cycles","30,170,009,119.39-31,367,008,317.01","186,346,463,169.17-198,772,438,094.33","True","6.06x-6.46x"
"page-faults","42,398.25-43,540.65","71,709.32-74,696.38","True","1.67x-1.74x"
"branch-instructions","11,305,409,435.43-11,954,524,282.57","41,789,727,758.62-45,218,266,732.38","True","3.59x-3.89x"
"branch-misses","199,002,286.40-208,208,250.50","2,054,283,497.33-2,228,502,039.57","True","10.09x-10.95x"
"major-faults","-6.01-89.41","25.44-132.16","False","0.23x-3.55x"
"minor-faults","42,356.70-43,498.80","71,658.59-74,589.41","True","1.67x-1.74x"
"avg-memory-over-time-in-bytes","101,871,727.62-117,321,934.93","162,909,744.15-177,063,773.37","True","1.46x-1.64x"
"max-memory-over-time-in-bytes","131,673,587.83-148,741,029.77","210,640,871.13-225,053,925.67","True","1.48x-1.63x"
"cpu-total-utilization-percentage","55.40-57.09","28.51-28.83","True","1.93x-1.99x"
"cpu-user-utilization-percentage","54.32-55.83","28.32-28.60","True","1.91x-1.96x"
"cpu-system-utilization-percentage","1.58-1.72","0.20-0.24","True","7.29x-7.95x"
"instructions-per-cycle","1.19-1.22","0.86-0.95","True","1.29x-1.39x"
"cycles-per-instruction","0.82-0.84","1.06-1.19","True","1.27x-1.43x"
"wall-time-seconds","12.19-12.78","273.04-273.70","True","21.87x-21.94x"
