model,input,deployment-mechanism,cpu-cycles-mean,cpu-cycles-error-lower,cpu-cycles-error-upper,instructions-mean,instructions-error-lower,instructions-error-upper,cache-misses-mean,cache-misses-error-lower,cache-misses-error-upper,cache-references-mean,cache-references-error-lower,cache-references-error-upper,bus-cycles-mean,bus-cycles-error-lower,bus-cycles-error-upper,page-faults-mean,page-faults-error-lower,page-faults-error-upper,branch-instructions-mean,branch-instructions-error-lower,branch-instructions-error-upper,branch-misses-mean,branch-misses-error-lower,branch-misses-error-upper,major-faults-mean,major-faults-error-lower,major-faults-error-upper,minor-faults-mean,minor-faults-error-lower,minor-faults-error-upper,avg-memory-over-time-in-bytes-mean,avg-memory-over-time-in-bytes-error-lower,avg-memory-over-time-in-bytes-error-upper,max-memory-over-time-in-bytes-mean,max-memory-over-time-in-bytes-error-lower,max-memory-over-time-in-bytes-error-upper,CPU-total-utilization-percentage-mean,CPU-total-utilization-percentage-error-lower,CPU-total-utilization-percentage-error-upper,CPU-user-utilization-percentage-mean,CPU-user-utilization-percentage-error-lower,CPU-user-utilization-percentage-error-upper,CPU-system-utilization-percentage-mean,CPU-system-utilization-percentage-error-lower,CPU-system-utilization-percentage-error-upper,instructions-per-cycle-mean,instructions-per-cycle-error-lower,instructions-per-cycle-error-upper,cycles-per-instruction-mean,cycles-per-instruction-error-lower,cycles-per-instruction-error-upper,wall-time-seconds-mean,wall-time-seconds-error-lower,wall-time-seconds-error-upper
efficientnet_b0_pt,SingleObject_jpg,native,24514852822.4,980486575.2415352,980486575.2415352,26801218423.35,1140503877.904316,1140503877.904316,35961132.25,1861328.1030853016,1861328.1030853016,5146767285.1,229685214.90180776,229685214.90180776,12384316732.95,556187130.3533859,556187130.3533859,33318.2,295.60411093370203,295.60411093370203,3906363706.15,195885484.06284285,195885484.06284285,135595888.2,5857170.697872937,5857170.697872937,30.45,41.99177081515328,41.99177081515328,33287.75,307.9424686101702,307.9424686101702,61895397.18100001,5177831.92038957,5177831.92038957,103017267.2,5211406.257869735,5211406.257869735,52.456,2.032124690894633,2.032124690894633,50.61350000000001,1.987312301424176,1.987312301424176,1.6125,0.0950556912954219,0.0950556912954219,1.0935570757174105,0.0200626463478783,0.0200626463478783,0.9157656338129738,0.0165836486357566,0.0165836486357566,6.588000000000001,0.1460593329389183,0.1460593329389183
efficientnet_b0_pt,SingleObject_jpg,docker,68024972934.76799,6132398611.634079,6132398611.634079,83845419004.99551,6847933195.514465,6847933195.514465,55936136.573,1889743.0968401656,1889743.0968401656,17275458057.142998,1957921921.510891,1957921921.510891,35373614274.98,3159076657.6887016,3159076657.688705,33533.6175,448.820536088213,448.820536088213,13164914113.088,1070836041.6528796,1070836041.6528796,173038819.22250003,13685087.50067678,13685087.50067678,112.8145,104.05744564919222,104.05744564919222,33408.8865,401.014020337796,401.014020337796,74077536.942,8615313.562931962,8615313.562931955,109622476.8,8621424.818621188,8621424.818621188,49.219,1.6460034771483834,1.6460034771483834,46.7855,1.6141562481724137,1.6141562481724137,2.4285,0.065120953820617,0.065120953820617,1.239974615847985,0.050994364891806,0.050994364891806,0.8120639889289052,0.0316407653748146,0.0316407653748146,8.0805,0.2134175673211436,0.2134175673211444
efficientnet_b0_pt,SingleObject_jpg,wasm_aot,25290534588.25,1050833421.924614,1050833421.924614,27756298909.8,1285581174.4910812,1285581174.4910812,36906230.1,1594346.717512466,1594346.717512466,5185995726.2,221083836.6558714,221083836.6558714,12641208756.0,416268820.4348202,416268820.4348202,40224.85,160.50544021664973,160.50544021664973,4072878527.75,150396949.8870368,150396949.8870368,134998944.85,3933871.379992351,3933871.379992336,24.75,34.696544351821075,34.696544351821075,40200.1,163.70049035522243,163.70049035522243,108905495.40549998,5583295.265937194,5583295.265937194,125198540.8,4973331.05411315,4973331.05411315,50.4835,1.631861839338164,1.631861839338164,50.095000000000006,1.895218089460684,1.895218089460684,1.4775,0.1466601267629739,0.1466601267629739,1.0979602156664858,0.0282736556225076,0.0282736556225076,0.9134395192998812,0.0238539131545082,0.0238539131545082,7.210499999999999,0.1616298156285411,0.1616298156285411
efficientnet_b1_pt,SingleObject_jpg,native,39837181477.85,734709254.6719284,734709254.6719284,45897737254.25,908056088.292656,908056088.292656,57380449.8,1266101.3086038083,1266101.3086038083,8590635633.0,178412214.9339447,178412214.9339447,20303872058.6,391461965.3500328,391461965.3500328,37806.95,520.9436088535294,520.9436088535294,7116512603.7,187354338.0177002,187354338.0177002,185059301.1,4074135.574464351,4074135.574464351,31.05,36.48126517000982,36.48126517000982,37775.9,513.9809601582529,513.9809601582529,83576711.642,4571206.398874268,4571206.398874268,117852569.6,4869170.731993392,4869170.731993392,54.626,1.1860754324061418,1.1860754324061418,53.17600000000001,1.1811001785023336,1.1811001785023336,1.6145,0.0675743849278642,0.0675743849278642,1.1525185338685695,0.0165891469705257,0.0165891469705257,0.8684420625134173,0.0124563072707851,0.0124563072707851,9.4985,0.3633110622367024,0.3633110622367024
efficientnet_b1_pt,SingleObject_jpg,docker,108492134376.503,7088350198.435776,7088350198.435776,137544175882.91953,8723023884.439514,8723023884.439514,85917561.197,2574044.0989326984,2574044.0989326984,27321624477.454,2298508924.859707,2298508924.859707,54571645996.541,3856167209.725128,3856167209.725128,37767.941000000006,593.3654962667861,593.3654962667861,21431451129.8435,1113857572.8060532,1113857572.8060532,253960494.8275,24313072.85627106,24313072.85627106,196.421,95.75752116047508,95.75752116047504,37566.5785,581.253926612917,581.253926612917,96158949.63,7448416.341544256,7448416.341544256,129524736.0,8050948.501726329,8050948.501726329,49.335,1.3095000130227137,1.3095000130227137,47.1065,1.2738965684294783,1.2738965684294783,2.226,0.0514793453541062,0.0514793453541062,1.2696047435889075,0.0312537605641058,0.0312537605641058,0.7896870386627639,0.0191995865310548,0.0191995865310548,10.741,0.3609062090538781,0.3609062090538781
efficientnet_b1_pt,SingleObject_jpg,wasm_aot,42333469425.85,894596963.6375122,894596963.6375122,48058827068.8,1155577485.966751,1155577485.966751,59802655.4,1246996.781382829,1246996.781382829,8994562047.75,231820476.821949,231820476.821949,21030062903.9,573007708.2276535,573007708.2276535,50189.2,192.3367255801204,192.3367255801204,7403857931.65,227011716.8916626,227011716.8916626,184243929.65,3520841.491476,3520841.491476,70.05,83.24350314111223,83.24350314111224,50119.15,180.4339235633961,180.4339235633961,134650397.39499998,6376636.853405669,6376636.853405684,149942067.2,8220454.929035962,8220454.929035962,55.641000000000005,1.0653059582719209,1.0653059582719209,53.86749999999999,1.0295520558174829,1.0295520558174829,1.6629999999999998,0.0872422302658881,0.0872422302658881,1.1355204881916146,0.0178899245447545,0.0178899245447545,0.8815838267878009,0.0136328021738373,0.0136328021738373,9.9535,0.2544066671167968,0.2544066671167968
efficientnet_b2_pt,SingleObject_jpg,wasm_aot,46549706453.6,991397575.0925828,991397575.0925828,53274761808.75,1624359463.820984,1624359463.820984,64913838.45,1437787.3284793869,1437787.3284793869,9950587304.5,220591621.4424019,220591621.4424019,22931988259.85,571571581.6439514,571571581.6439514,55464.55,487.4414766373593,487.4414766373593,8203165341.35,224986733.51513577,224986733.51513577,185188138.0,5432507.857422113,5432507.857422113,120.05,94.66570294774316,94.66570294774316,55344.45,456.1488906572122,456.1488906572122,145556265.84149998,11096284.98005265,11096284.98005265,164434944.0,11648205.758729726,11648205.758729726,52.8965,4.809070227286753,4.809070227286753,51.00749999999999,4.899953057498472,4.899953057498472,1.6934999999999998,0.1616069899335153,0.1616069899335153,1.1441422775160868,0.0212239001736087,0.0212239001736087,0.875343284122267,0.0164948168870238,0.0164948168870238,10.591,0.2587676202896762,0.2587676202896762
efficientnet_b2_pt,SingleObject_jpg,docker,107381558251.13,4041553894.490997,4041553894.490997,137146445027.42598,3911704444.757385,3911704444.75737,90112436.32350002,2558320.445803046,2558320.445803046,25543837923.3485,1082528419.1651802,1082528419.1651802,53790569353.7685,2264421191.383934,2264421191.383934,39716.80699999999,665.0437948951294,665.0437948951294,21978509088.27949,741700981.314373,741700981.314373,221545833.7105,16531681.43594709,16531681.43594709,202.0765,103.6429617328867,103.6429617328867,39502.522,646.2643773540767,646.2643773540767,106518882.1345,12273091.15303953,12273091.15303953,138102169.6,12801897.327717528,12801897.327717513,48.263000000000005,1.6564669632557312,1.6564669632557312,46.039,1.5860386089500906,1.5860386089500906,2.2255000000000003,0.0778483378707441,0.0778483378707441,1.281300385782694,0.0398612125745752,0.0398612125745752,0.7836439187938398,0.0237328633414004,0.0237328633414004,11.360499999999998,0.4317403026570492,0.4317403026570492
efficientnet_b2_pt,SingleObject_jpg,native,44846943332.5,1126128890.1014938,1126128890.1014938,52116227212.85,1453648611.6052628,1453648611.6052628,62189067.95,1249179.9058184624,1249179.9058184624,9682215413.9,263089506.23971367,263089506.23971367,22295388810.05,494669932.569664,494669932.569664,39484.1,476.6222332318357,476.6222332318357,8018776451.95,245126799.63798428,245126799.63798428,181779804.4,3918390.110604465,3918390.110604465,17.55,19.85354228588528,19.85354228588528,39466.55,479.2494818092455,479.2494818092455,87948623.7115,5449279.087954342,5449279.087954342,120420352.0,5800296.81228137,5800296.81228137,55.641,0.9311746170041816,0.9311746170041816,53.985,0.9068953851858196,0.9068953851858196,1.6435,0.0791815472908703,0.0791815472908703,1.1620141133950406,0.0119558698775039,0.0119558698775039,0.8609678283484546,0.0088110066599464,0.0088110066599464,10.105000000000002,0.3435382795850845,0.3435382795850845
efficientnet_b3_pt,SingleObject_jpg,docker,127098858321.253,9321238536.928787,9321238536.928787,159202791695.60452,13096049891.555117,13096049891.555117,110463416.42849998,6230725.081573606,6230725.081573606,29219659287.63349,2571220836.839035,2571220836.839035,63277269377.501,5019847031.289619,5019847031.289619,43854.31050000001,554.2659134266214,554.2659134266214,25504975529.445,2026486596.1704445,2026486596.1704445,219406859.6705,16079318.238180488,16079318.238180488,305.521,104.9341011499452,104.9341011499452,43541.305,555.7890518326094,555.7890518326094,134852888.0945,13997986.537998438,13997986.537998438,167563264.0,15557754.948218048,15557754.948218048,45.31,3.26821922108536,3.26821922108536,43.305,3.130892294313582,3.130892294313582,2.005,0.142203274032548,0.142203274032548,1.2510226171219745,0.0369735937070903,0.0369735937070903,0.8025674620004322,0.0251877104233398,0.0251877104233398,13.895499999999998,0.4024221382659334,0.4024221382659334
