experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time
docker_container,49,2025-02-04T10:41:18.747944,69425070659,53949522640,12353683314,74299202,60817,27001941612,10689678489,140896303,536,60278,127410586,278642688
docker_container_and_daemon,49,2025-02-04T10:41:18.747944,78896937558,59968676999,14367410521,88301999,68464,30010627738,12104418005,167447475,596,67865,226845910,311275520
wasm_aot,45,2025-02-04T10:42:08.576649,7372783178544,6673115640639,2011081104981,7822215573,7167325,3352268685088,1118488997108,25419596879,14981,7152343,265533194,325566464
wasm_aot,46,2025-02-04T10:42:48.451252,7435776559937,6725462575719,2022118728053,7894640171,7240761,3378564259748,1128339997496,25577402292,15027,7225732,273325521,340688896
wasm_interpreted,48,2025-02-04T10:43:27.093882,7526403648581,6806877613808,2053470590499,7982109753,7320477,3421253219092,1140965308389,25985948775,15063,7305413,231554886,365400064
wasm_interpreted,49,2025-02-04T10:44:35.042158,7621132580499,6898924258879,2083173223356,8078520176,7401027,3466941485683,1153987598507,26389831128,15061,7385965,233373332,366522368
wasm_aot,47,2025-02-04T10:45:43.762952,7695407750586,6960827777651,2097190664363,8161069814,7475607,3497325101716,1165284044928,26548103104,15060,7460545,280775601,349224960
wasm_interpreted,50,2025-02-04T10:46:23.375298,7777368077752,7042749062559,2127460908728,8243828473,7554502,3539367127733,1178454893117,26909123232,15060,7539442,239762637,365359104
wasm_aot,48,2025-02-04T10:47:32.455475,7848751772072,7101276525692,2140163010587,8320249004,7629267,3567647044971,1189539495247,27055709834,15058,7614207,283201877,345505792
wasm_aot,49,2025-02-04T10:48:11.212318,7917174739853,7157630871524,2153617717587,8398794533,7703662,3596674365586,1200593466927,27200108871,15057,7688605,282297923,345812992
wasm_aot,50,2025-02-04T10:48:50.709989,7991285636024,7215991010425,2166648203764,8476128715,7778298,3627151371566,1212292084810,27359246640,15057,7763241,280352237,345485312
docker_container,50,2025-02-04T10:49:32.143940,2373889122,7124911790,935199454,20817278,19003,2211307880,265642644,25231796,501,18501,74569045,132788224
docker_container_and_daemon,50,2025-02-04T10:49:32.143940,10765224619,8052012914,3099903465,34845506,22975,3838857296,1048716390,71109030,565,22400,155601774,167567360
