experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,33,2025-02-04T11:20:33.277720,8.76
wasm_aot,34,2025-02-04T11:20:42.049506,8.75
wasm_aot,35,2025-02-04T11:20:50.815357,8.6
docker,31,2025-02-04T11:20:59.428834,9.25
wasm_aot,36,2025-02-04T11:21:08.844963,8.77
wasm_interpreted,36,2025-02-04T11:21:17.623811,34.91
docker,32,2025-02-04T11:21:52.543893,9.43
wasm_interpreted,37,2025-02-04T11:22:02.140147,34.75
wasm_aot,37,2025-02-04T11:22:36.898838,8.53
docker,33,2025-02-04T11:22:45.441145,9.64
docker,34,2025-02-04T11:22:55.319964,9.66
wasm_aot,38,2025-02-04T11:23:05.135317,8.82
docker,35,2025-02-04T11:23:13.970122,9.75
wasm_interpreted,38,2025-02-04T11:23:23.888565,34.68
wasm_interpreted,39,2025-02-04T11:23:58.581077,34.72
wasm_interpreted,40,2025-02-04T11:24:33.307855,34.58
docker,36,2025-02-04T11:25:07.893697,9.88
wasm_aot,39,2025-02-04T11:25:17.943554,8.54
wasm_interpreted,41,2025-02-04T11:25:26.489648,34.84
docker,37,2025-02-04T11:26:01.336935,9.48
wasm_interpreted,42,2025-02-04T11:26:10.987977,34.58
wasm_aot,40,2025-02-04T11:26:45.579195,8.6
wasm_interpreted,43,2025-02-04T11:26:54.189629,34.75
wasm_interpreted,44,2025-02-04T11:27:28.945487,34.86
wasm_interpreted,45,2025-02-04T11:28:03.814317,34.68
docker,38,2025-02-04T11:28:38.506450,9.63
docker,39,2025-02-04T11:28:48.298249,9.24
wasm_aot,41,2025-02-04T11:28:57.694563,8.5
wasm_aot,42,2025-02-04T11:29:06.200297,8.6
docker,40,2025-02-04T11:29:14.818141,9.6
docker,41,2025-02-04T11:29:24.582103,9.31
docker,42,2025-02-04T11:29:34.064989,9.43
wasm_aot,43,2025-02-04T11:29:43.660125,8.73
wasm_aot,44,2025-02-04T11:29:52.398778,8.93
wasm_aot,45,2025-02-04T11:30:01.336488,9.2
wasm_interpreted,46,2025-02-04T11:30:10.544403,34.75
wasm_aot,46,2025-02-04T11:30:45.309465,8.64
docker,43,2025-02-04T11:30:53.973112,9.88
wasm_interpreted,47,2025-02-04T11:31:04.011763,34.61
wasm_interpreted,48,2025-02-04T11:31:38.634756,34.7
docker,44,2025-02-04T11:32:13.345758,9.57
wasm_interpreted,49,2025-02-04T11:32:23.082825,34.61
docker,45,2025-02-04T11:32:57.707628,9.29
docker,46,2025-02-04T11:33:07.157881,9.27
wasm_aot,47,2025-02-04T11:33:16.593281,8.74
wasm_aot,48,2025-02-04T11:33:25.340474,8.62
wasm_aot,49,2025-02-04T11:33:33.970830,8.59
wasm_aot,50,2025-02-04T11:33:42.568611,8.68
docker,47,2025-02-04T11:33:51.254237,9.63
docker,48,2025-02-04T11:34:01.051610,9.51
docker,49,2025-02-04T11:34:10.722039,9.49
wasm_interpreted,50,2025-02-04T11:34:20.376373,34.72
docker,50,2025-02-04T11:34:55.102495,9.62
