model,input,deployment-mechanism,cpu-cycles-mean,cpu-cycles-error-lower,cpu-cycles-error-upper,instructions-mean,instructions-error-lower,instructions-error-upper,cache-misses-mean,cache-misses-error-lower,cache-misses-error-upper,cache-references-mean,cache-references-error-lower,cache-references-error-upper,bus-cycles-mean,bus-cycles-error-lower,bus-cycles-error-upper,page-faults-mean,page-faults-error-lower,page-faults-error-upper,branch-instructions-mean,branch-instructions-error-lower,branch-instructions-error-upper,branch-misses-mean,branch-misses-error-lower,branch-misses-error-upper,major-faults-mean,major-faults-error-lower,major-faults-error-upper,minor-faults-mean,minor-faults-error-lower,minor-faults-error-upper,avg-memory-over-time-in-bytes-mean,avg-memory-over-time-in-bytes-error-lower,avg-memory-over-time-in-bytes-error-upper,max-memory-over-time-in-bytes-mean,max-memory-over-time-in-bytes-error-lower,max-memory-over-time-in-bytes-error-upper,CPU-total-utilization-percentage-mean,CPU-total-utilization-percentage-error-lower,CPU-total-utilization-percentage-error-upper,CPU-user-utilization-percentage-mean,CPU-user-utilization-percentage-error-lower,CPU-user-utilization-percentage-error-upper,CPU-system-utilization-percentage-mean,CPU-system-utilization-percentage-error-lower,CPU-system-utilization-percentage-error-upper,instructions-per-cycle-mean,instructions-per-cycle-error-lower,instructions-per-cycle-error-upper,cycles-per-instruction-mean,cycles-per-instruction-error-lower,cycles-per-instruction-error-upper,wall-time-seconds-mean,wall-time-seconds-error-lower,wall-time-seconds-error-upper,cpu-total-utilization-percentage-mean,cpu-total-utilization-percentage-error-lower,cpu-total-utilization-percentage-error-upper,cpu-user-utilization-percentage-mean,cpu-user-utilization-percentage-error-lower,cpu-user-utilization-percentage-error-upper,cpu-system-utilization-percentage-mean,cpu-system-utilization-percentage-error-lower,cpu-system-utilization-percentage-error-upper
mobilenetv3_small_pt,SingleObject_jpg,wasm_aot,8078404055.75,820015959.6325254,820015959.6325245,7306220370.3,1327479196.5486317,1327479196.5486326,13842734.55,2184067.3943729457,2184067.3943729457,1508454126.3,271128891.59055686,271128891.59055686,4408315532.55,727331749.5831461,727331749.5831461,29413.35,49.194683891873865,49.194683891873865,955113734.9,177511212.41396832,177511212.41396844,72074054.05,11567932.36154683,11567932.36154683,61.1,74.04814961822561,74.04814961822561,29352.25,31.390908234305243,31.390908234305243,75014522.88000001,6227111.4106090665,6227111.4106090665,102988390.4,5850651.169645101,5850651.169645101,34.32249999999999,4.290297581229744,4.290297581229744,33.011,3.9393818636702074,3.9393818636702074,1.5255,0.24897530667501,0.24897530667501,0.8857340099897911,0.0881316783733898,0.0881316783733898,1.1759614797802007,0.1132573424682485,0.1132573424682485,4.3285,0.0975385967780679,0.0975385967780679,,,,,,,,,
mobilenetv3_small_pt,SingleObject_jpg,native,7597666572.35,1175505242.394535,1175505242.394535,6451073768.8,1016589686.6891928,1016589686.6891928,12589868.05,1621965.7243541498,1621965.7243541498,1251512440.45,208662332.80186725,208662332.80186725,3855899663.75,595696186.6517992,595696186.6517992,28115.6,37.09047000898136,37.09047000898136,830704796.9,164783945.02943242,164783945.02943242,68425584.05,9986833.199517474,9986833.199517474,20.25,22.07116860782655,22.07116860782655,28095.35,43.76142818567678,43.76142818567678,42108637.867,3614156.15884202,3614156.15884202,87539916.8,2091409.9818588796,2091409.9818588796,35.322,4.629989322237318,4.629989322237314,32.679,4.069390795115609,4.069390795115609,1.9515,0.2149451178925572,0.2149451178925572,0.8504442264461959,0.0686770059772806,0.0686770059772806,1.2128956777229571,0.1088320073387723,0.1088320073387723,3.915000000000001,0.1404740962107289,0.1404740962107289,,,,,,,,,
mobilenetv3_small_pt,SingleObject_jpg,wasm_interpreted,335684089887.4,24214615635.29962,24214615635.29962,288343674496.6,21660217410.465668,21660217410.46564,131140737.45,12742854.025571302,12742854.025571302,197701065895.35,13922010079.993988,13922010079.993988,168866135606.3,13012247453.86136,13012247453.86136,35641.75,129.1338506649627,129.1338506649627,32701407466.75,2058909103.2424164,2058909103.2424164,1975147540.45,102892880.05964804,102892880.05964804,40.5,42.698527695348425,42.69852769534842,35601.25,121.70609035811503,121.70609035811503,111488564.3325,2798221.805723652,2798221.805723652,122096435.2,3433364.889890671,3433364.889890671,25.121,0.0692664650187673,0.0692664650187673,25.0995,0.0685230934168643,0.0685230934168643,0.0285,0.0068371931764901,0.0068371931764901,0.8633592038101033,0.0436941326075702,0.0436941326075702,1.1714639739555035,0.0605921379976381,0.0605921379976381,265.56749999999994,0.1012911087103702,0.1012911087103702,,,,,,,,,
mobilenetv3_small_pt,SingleObject_jpg,docker,14554002558.265505,1463659749.6813602,1463659749.6813602,19729183509.410503,2912625569.397228,2912625569.397228,18806974.468,1750498.667248901,1750498.667248901,4048730022.3755007,677456740.8106804,677456740.8106804,7933987592.399,770237695.3355713,770237695.3355713,28919.808,534.060209806401,534.060209806401,2723614553.7070003,368442009.11652136,368442009.11652136,101339639.572,6420957.357850388,6420957.357850388,139.8295,86.30715551921818,86.30715551921818,28775.077500000003,498.0499193756914,498.0499193756914,48050097.9815,3606312.071812503,3606312.071812503,93632307.2,4473845.7904583365,4473845.7904583365,37.545,2.512538202247889,2.512538202247889,35.662,2.5421827519625566,2.5421827519625566,2.527,0.1703503413288949,0.1703503413288949,1.354426101624963,0.1401248218617052,0.1401248218617052,0.7729750291593744,0.0786175779179937,0.0786175779179937,5.2705,0.0909477293559248,0.0909477293559248,,,,,,,,,
mobilenetv3_small.pt,1_SingleObject.jpg,wasm_aot,8078404055.75,820015959.6325254,820015959.6325245,7306220370.3,1327479196.5486317,1327479196.5486326,13842734.55,2184067.3943729457,2184067.3943729457,1508454126.3,271128891.59055686,271128891.59055686,4408315532.55,727331749.5831461,727331749.5831461,29413.35,49.194683891873865,49.194683891873865,955113734.9,177511212.41396832,177511212.41396844,72074054.05,11567932.36154683,11567932.36154683,61.1,74.04814961822561,74.04814961822561,29352.25,31.390908234305243,31.390908234305243,75014522.88000001,6227111.4106090665,6227111.4106090665,102988390.4,5850651.169645101,5850651.169645101,,,,,,,,,,0.8857340099897911,0.08813167837338987,0.08813167837338987,1.1759614797802007,0.11325734246824859,0.11325734246824859,4.3285,0.09753859677806798,0.09753859677806798,34.32249999999999,4.290297581229744,4.290297581229744,33.010999999999996,3.9393818636702065,3.9393818636702065,1.5254999999999999,0.24897530667501,0.24897530667501
mobilenetv3_small.pt,1_SingleObject.jpg,native,7597666572.35,1175505242.394535,1175505242.394535,6451073768.8,1016589686.6891928,1016589686.6891928,12589868.05,1621965.7243541498,1621965.7243541498,1251512440.45,208662332.80186725,208662332.80186725,3855899663.75,595696186.6517992,595696186.6517992,28115.6,37.090470008981356,37.090470008981356,830704796.9,164783945.02943242,164783945.02943242,68425584.05,9986833.199517474,9986833.199517474,20.25,22.07116860782655,22.07116860782655,28095.35,43.76142818567678,43.76142818567678,42108637.867,3614156.1588420197,3614156.1588420197,87539916.8,2091409.9818588793,2091409.9818588793,,,,,,,,,,0.8504442264461959,0.06867700597728066,0.06867700597728066,1.2128956777229571,0.1088320073387723,0.1088320073387723,3.9150000000000005,0.14047409621072893,0.14047409621072893,35.322,4.629989322237318,4.629989322237314,32.679,4.069390795115609,4.069390795115609,1.9514999999999998,0.2149451178925572,0.2149451178925572
mobilenetv3_small.pt,1_SingleObject.jpg,wasm_interpreted,335684089887.4,24214615635.29962,24214615635.29962,288343674496.6,21660217410.465668,21660217410.465637,131140737.45,12742854.025571302,12742854.025571302,197701065895.35,13922010079.993988,13922010079.993988,168866135606.3,13012247453.861359,13012247453.861359,35641.75,129.13385066496267,129.13385066496267,32701407466.75,2058909103.2424164,2058909103.2424164,1975147540.45,102892880.05964804,102892880.05964804,40.5,42.698527695348425,42.69852769534842,35601.25,121.70609035811503,121.70609035811503,111488564.33250001,2798221.8057236522,2798221.8057236522,122096435.2,3433364.889890671,3433364.889890671,,,,,,,,,,0.8633592038101033,0.04369413260757027,0.04369413260757027,1.1714639739555035,0.060592137997638185,0.060592137997638185,265.56749999999994,0.10129110871037028,0.10129110871037028,25.121,0.06926646501876732,0.06926646501876732,25.0995,0.06852309341686436,0.06852309341686436,0.028500000000000004,0.006837193176490175,0.006837193176490175
mobilenetv3_small.pt,1_SingleObject.jpg,docker,14554002558.265503,1463659749.6813602,1463659749.6813602,19729183509.410503,2912625569.3972282,2912625569.3972282,18806974.468,1750498.667248901,1750498.667248901,4048730022.3755007,677456740.8106804,677456740.8106804,7933987592.399,770237695.3355713,770237695.3355713,28919.807999999997,534.060209806401,534.060209806401,2723614553.7070003,368442009.11652136,368442009.11652136,101339639.572,6420957.357850388,6420957.357850388,139.8295,86.30715551921818,86.30715551921818,28775.077500000003,498.0499193756914,498.0499193756914,48050097.9815,3606312.071812503,3606312.071812503,93632307.2,4473845.7904583365,4473845.7904583365,,,,,,,,,,1.354426101624963,0.14012482186170527,0.14012482186170527,0.7729750291593744,0.07861757791799373,0.07861757791799373,5.2705,0.09094772935592488,0.09094772935592488,37.545,2.512538202247889,2.512538202247889,35.662,2.5421827519625566,2.5421827519625566,2.527,0.17035034132889493,0.17035034132889493
