"metric","wasm_interpreted-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","358,067,953,734.50-387,188,100,198.90","103,340,004,356.64-111,423,112,145.62","True","3.33x-3.61x"
"instructions","311,756,995,508.02-335,226,615,451.48","133,234,740,582.67-141,058,149,472.18","True","2.27x-2.45x"
"cache-misses","181,704,060.16-193,904,495.74","87,554,115.88-92,670,756.77","True","2.01x-2.16x"
"cache-references","190,830,707,916.37-204,392,989,160.23","24,461,309,504.18-26,626,366,342.51","True","7.47x-8.00x"
"bus-cycles","179,930,471,415.77-191,803,351,977.83","51,526,148,162.38-56,054,990,545.15","True","3.34x-3.57x"
"page-faults","61,996.51-62,738.09","39,051.76-40,381.85","True","1.55x-1.59x"
"branch-instructions","38,192,497,195.39-40,932,526,127.61","21,236,808,106.97-22,720,210,069.59","True","1.73x-1.87x"
"branch-misses","1,973,799,757.65-2,128,191,065.95","205,014,152.27-238,077,515.15","True","8.90x-9.61x"
"major-faults","-1.11-144.91","98.43-305.72","True","1.10x-4.52x"
"minor-faults","61,925.18-62,665.72","38,856.26-40,148.79","True","1.56x-1.60x"
"avg-memory-over-time-in-bytes","143,787,288.24-161,559,489.80","94,245,790.98-118,791,973.29","True","1.30x-1.57x"
"max-memory-over-time-in-bytes","170,857,312.43-189,127,839.57","125,300,272.27-150,904,066.93","True","1.19x-1.41x"
"cpu-total-utilization-percentage","27.49-27.69","46.61-49.92","True","1.69x-1.81x"
"cpu-user-utilization-percentage","27.37-27.57","44.45-47.63","True","1.62x-1.73x"
"cpu-system-utilization-percentage","0.15-0.16","2.15-2.30","True","13.63x-14.63x"
"instructions-per-cycle","0.83-0.91","1.24-1.32","True","1.41x-1.53x"
"cycles-per-instruction","1.10-1.21","0.76-0.81","True","1.40x-1.55x"
"wall-time-seconds","270.70-271.10","10.93-11.79","True","23.80x-23.89x"
