"metric","wasm_aot-value","native-value","statistically-significant","effect-size"
"cpu-cycles","45,558,308,878.51-47,541,104,028.69","43,720,814,442.40-45,973,072,222.60","True","1.01x-1.07x"
"instructions","51,650,402,344.93-54,899,121,272.57","50,662,578,601.24-53,569,875,824.46","False","0.98x-1.06x"
"cache-misses","63,476,051.12-66,351,625.78","60,939,888.04-63,438,247.86","True","1.01x-1.07x"
"cache-references","9,729,995,683.06-10,171,178,925.94","9,419,125,907.66-9,945,304,920.14","False","0.99x-1.06x"
"bus-cycles","22,360,416,678.21-23,503,559,841.49","21,800,718,877.48-22,790,058,742.62","False","1.00x-1.06x"
"page-faults","54,977.11-55,951.99","39,007.48-39,960.72","True","1.39x-1.42x"
"branch-instructions","7,978,178,607.83-8,428,152,074.87","7,773,649,652.31-8,263,903,251.59","False","0.98x-1.06x"
"branch-misses","179,755,630.14-190,620,645.86","177,861,414.29-185,698,194.51","False","0.98x-1.05x"
"major-faults","25.38-214.72","-2.30-37.40","True","1.36x-12.32x"
"minor-faults","54,888.30-55,800.60","38,987.30-39,945.80","True","1.39x-1.42x"
"avg-memory-over-time-in-bytes","134,459,980.86-156,652,550.82","82,499,344.62-93,397,902.80","True","1.52x-1.79x"
"max-memory-over-time-in-bytes","152,786,738.24-176,083,149.76","114,620,055.19-126,220,648.81","True","1.26x-1.47x"
"cpu-total-utilization-percentage","48.09-57.71","54.71-56.57","False","0.96x-1.14x"
"cpu-user-utilization-percentage","46.11-55.91","53.08-54.89","False","0.96x-1.16x"
"cpu-system-utilization-percentage","1.53-1.86","1.56-1.72","False","0.92x-1.14x"
"instructions-per-cycle","1.12-1.17","1.15-1.17","False","0.99x-1.04x"
"cycles-per-instruction","0.86-0.89","0.85-0.87","False","1.00x-1.04x"
"wall-time-seconds","10.33-10.85","9.76-10.45","True","1.01x-1.09x"
