"metric","native-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","39,102,472,223.18-40,571,890,732.52","101,403,784,178.07-115,580,484,574.94","True","2.54x-2.90x"
"instructions","44,989,681,165.96-46,805,793,342.54","128,821,151,998.48-146,267,199,767.36","True","2.81x-3.19x"
"cache-misses","56,114,348.49-58,646,551.11","83,343,517.10-88,491,605.30","True","1.45x-1.55x"
"cache-references","8,412,223,418.07-8,769,047,847.93","25,023,115,552.59-29,620,133,402.31","True","2.91x-3.45x"
"bus-cycles","19,912,410,093.25-20,695,334,023.95","50,715,478,786.82-58,427,813,206.27","True","2.50x-2.88x"
"page-faults","37,286.01-38,327.89","37,174.58-38,361.31","False","0.98x-1.02x"
"branch-instructions","6,929,158,265.68-7,303,866,941.72","20,317,593,557.04-22,545,308,702.65","True","2.85x-3.17x"
"branch-misses","180,985,165.53-189,133,436.67","229,647,421.97-278,273,567.68","True","1.24x-1.51x"
"major-faults","-5.43-67.53","100.66-292.18","True","3.07x-9.58x"
"minor-faults","37,261.92-38,289.88","36,985.32-38,147.83","False","0.99x-1.03x"
"avg-memory-over-time-in-bytes","79,005,505.24-88,147,918.04","88,710,533.29-103,607,365.97","True","1.05x-1.25x"
"max-memory-over-time-in-bytes","112,983,398.87-122,721,740.33","121,473,787.50-137,575,684.50","True","1.02x-1.18x"
"cpu-total-utilization-percentage","53.44-55.81","48.03-50.64","True","1.07x-1.14x"
"cpu-user-utilization-percentage","51.99-54.36","45.83-48.38","True","1.09x-1.16x"
"cpu-system-utilization-percentage","1.55-1.68","2.17-2.28","True","1.33x-1.43x"
"instructions-per-cycle","1.14-1.17","1.24-1.30","True","1.07x-1.13x"
"cycles-per-instruction","0.86-0.88","0.77-0.81","True","1.07x-1.13x"
"wall-time-seconds","9.14-9.86","10.38-11.10","True","1.08x-1.18x"
