"metric","wasm_interpreted-value","native-value","statistically-significant","effect-size"
"cpu-cycles","417,768,023,109.64-449,107,337,808.26","128,764,753,752.65-135,383,281,254.55","True","3.16x-3.40x"
"instructions","412,698,363,826.85-441,445,357,352.25","159,832,275,831.04-169,253,697,489.66","True","2.50x-2.69x"
"cache-misses","290,199,800.85-306,080,391.85","170,285,893.37-175,576,217.33","True","1.68x-1.77x"
"cache-references","212,090,717,973.78-226,562,426,969.62","29,215,659,897.94-30,705,974,457.46","True","7.08x-7.56x"
"bus-cycles","225,909,879,045.54-239,160,888,046.96","64,244,743,577.62-67,360,192,324.58","True","3.43x-3.64x"
"page-faults","152,908.11-159,864.79","67,399.22-68,089.48","True","2.26x-2.36x"
"branch-instructions","54,067,443,902.52-58,112,929,982.08","25,559,625,238.62-26,899,274,942.58","True","2.06x-2.22x"
"branch-misses","2,114,023,906.51-2,287,834,570.79","315,356,870.46-324,921,460.84","True","6.60x-7.15x"
"major-faults","261.90-517.10","52.31-256.89","True","1.49x-3.54x"
"minor-faults","152,610.60-159,383.20","67,224.39-67,955.11","True","2.26x-2.36x"
"avg-memory-over-time-in-bytes","335,638,013.75-362,340,718.60","237,045,748.27-272,816,878.85","True","1.28x-1.45x"
"max-memory-over-time-in-bytes","450,694,398.22-484,401,512.18","251,687,870.45-291,362,267.15","True","1.63x-1.81x"
"cpu-total-utilization-percentage","31.49-31.74","55.46-57.03","True","1.75x-1.80x"
"cpu-user-utilization-percentage","31.07-31.32","53.76-55.35","True","1.72x-1.77x"
"cpu-system-utilization-percentage","0.39-0.43","1.73-1.77","True","4.20x-4.33x"
"instructions-per-cycle","0.95-1.03","1.23-1.26","True","1.22x-1.30x"
"cycles-per-instruction","0.98-1.05","0.80-0.81","True","1.22x-1.31x"
"wall-time-seconds","283.36-284.22","23.26-24.67","True","11.81x-11.87x"
