"metric","wasm_interpreted-value","native-value","statistically-significant","effect-size"
"cpu-cycles","358,067,953,734.50-387,188,100,198.90","43,720,814,442.40-45,973,072,222.60","True","7.98x-8.63x"
"instructions","311,756,995,508.02-335,226,615,451.48","50,662,578,601.24-53,569,875,824.46","True","5.98x-6.43x"
"cache-misses","181,704,060.16-193,904,495.74","60,939,888.04-63,438,247.86","True","2.92x-3.12x"
"cache-references","190,830,707,916.37-204,392,989,160.23","9,419,125,907.66-9,945,304,920.14","True","19.71x-21.11x"
"bus-cycles","179,930,471,415.77-191,803,351,977.83","21,800,718,877.48-22,790,058,742.62","True","8.07x-8.60x"
"page-faults","61,996.51-62,738.09","39,007.48-39,960.72","True","1.56x-1.59x"
"branch-instructions","38,192,497,195.39-40,932,526,127.61","7,773,649,652.31-8,263,903,251.59","True","4.76x-5.11x"
"branch-misses","1,973,799,757.65-2,128,191,065.95","177,861,414.29-185,698,194.51","True","10.86x-11.71x"
"major-faults","-1.11-144.91","-2.30-37.40","False","-0.18x-8.37x"
"minor-faults","61,925.18-62,665.72","38,987.30-39,945.80","True","1.56x-1.59x"
"avg-memory-over-time-in-bytes","143,787,288.24-161,559,489.80","82,499,344.62-93,397,902.80","True","1.62x-1.85x"
"max-memory-over-time-in-bytes","170,857,312.43-189,127,839.57","114,620,055.19-126,220,648.81","True","1.41x-1.58x"
"cpu-total-utilization-percentage","27.49-27.69","54.71-56.57","True","1.98x-2.05x"
"cpu-user-utilization-percentage","27.37-27.57","53.08-54.89","True","1.93x-2.00x"
"cpu-system-utilization-percentage","0.15-0.16","1.56-1.72","True","9.93x-10.94x"
"instructions-per-cycle","0.83-0.91","1.15-1.17","True","1.29x-1.38x"
"cycles-per-instruction","1.10-1.21","0.85-0.87","True","1.28x-1.40x"
"wall-time-seconds","270.70-271.10","9.76-10.45","True","26.77x-26.85x"
