"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","91,985,626,476.31-96,024,682,665.39","169,349,205,815.02-201,765,204,093.65","True","1.80x-2.15x"
"instructions","112,532,990,969.31-117,790,558,704.09","214,079,009,059.19-258,584,534,073.82","True","1.86x-2.25x"
"cache-misses","126,036,804.53-130,695,966.97","149,499,945.06-170,454,309.91","True","1.16x-1.33x"
"cache-references","20,890,934,219.65-21,855,128,793.75","39,905,398,675.44-49,025,575,588.50","True","1.87x-2.29x"
"bus-cycles","46,530,342,326.84-48,628,806,150.56","86,538,862,919.30-103,016,728,233.50","True","1.82x-2.17x"
"page-faults","95,846.53-97,782.77","52,503.56-54,385.22","True","1.79x-1.84x"
"branch-instructions","17,953,524,184.35-18,773,601,638.45","34,428,561,875.05-40,872,244,464.30","True","1.87x-2.23x"
"branch-misses","248,705,474.02-256,952,885.78","305,636,387.18-365,788,217.23","True","1.21x-1.45x"
"major-faults","69.49-247.11","224.76-477.65","True","1.27x-3.17x"
"minor-faults","95,707.84-97,604.76","52,199.25-53,966.60","True","1.80x-1.84x"
"avg-memory-over-time-in-bytes","228,384,621.79-250,415,428.29","163,633,020.45-199,417,635.95","True","1.21x-1.43x"
"max-memory-over-time-in-bytes","283,092,824.48-310,014,119.52","190,441,543.11-229,468,498.49","True","1.30x-1.52x"
"cpu-total-utilization-percentage","55.36-56.85","42.41-49.28","True","1.15x-1.30x"
"cpu-user-utilization-percentage","53.49-54.97","40.55-47.15","True","1.16x-1.31x"
"cpu-system-utilization-percentage","1.79-1.87","1.86-2.14","True","1.01x-1.17x"
"instructions-per-cycle","1.22-1.23","1.24-1.31","True","1.01x-1.07x"
"cycles-per-instruction","0.81-0.82","0.77-0.81","True","1.01x-1.06x"
"wall-time-seconds","17.47-18.78","17.96-18.96","False","0.97x-1.06x"
