"metric","wasm_aot-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","45,558,308,878.51-47,541,104,028.69","358,067,953,734.50-387,188,100,198.90","True","7.69x-8.32x"
"instructions","51,650,402,344.93-54,899,121,272.57","311,756,995,508.02-335,226,615,451.48","True","5.85x-6.29x"
"cache-misses","63,476,051.12-66,351,625.78","181,704,060.16-193,904,495.74","True","2.80x-2.99x"
"cache-references","9,729,995,683.06-10,171,178,925.94","190,830,707,916.37-204,392,989,160.23","True","19.18x-20.54x"
"bus-cycles","22,360,416,678.21-23,503,559,841.49","179,930,471,415.77-191,803,351,977.83","True","7.85x-8.36x"
"page-faults","54,977.11-55,951.99","61,996.51-62,738.09","True","1.11x-1.14x"
"branch-instructions","7,978,178,607.83-8,428,152,074.87","38,192,497,195.39-40,932,526,127.61","True","4.65x-4.99x"
"branch-misses","179,755,630.14-190,620,645.86","1,973,799,757.65-2,128,191,065.95","True","10.66x-11.49x"
"major-faults","25.38-214.72","-1.11-144.91","False","0.06x-3.28x"
"minor-faults","54,888.30-55,800.60","61,925.18-62,665.72","True","1.12x-1.14x"
"avg-memory-over-time-in-bytes","134,459,980.86-156,652,550.82","143,787,288.24-161,559,489.80","False","0.95x-1.14x"
"max-memory-over-time-in-bytes","152,786,738.24-176,083,149.76","170,857,312.43-189,127,839.57","True","1.01x-1.18x"
"cpu-total-utilization-percentage","48.09-57.71","27.49-27.69","True","1.74x-2.09x"
"cpu-user-utilization-percentage","46.11-55.91","27.37-27.57","True","1.68x-2.04x"
"cpu-system-utilization-percentage","1.53-1.86","0.15-0.16","True","9.73x-11.78x"
"instructions-per-cycle","1.12-1.17","0.83-0.91","True","1.26x-1.36x"
"cycles-per-instruction","0.86-0.89","1.10-1.21","True","1.26x-1.38x"
"wall-time-seconds","10.33-10.85","270.70-271.10","True","25.55x-25.61x"
