"metric","docker-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","101,403,784,178.07-115,580,484,574.94","342,399,246,435.42-377,676,016,668.08","True","3.15x-3.49x"
"instructions","128,821,151,998.48-146,267,199,767.36","298,575,677,589.99-315,497,192,440.21","True","2.15x-2.32x"
"cache-misses","83,343,517.10-88,491,605.30","173,654,821.50-183,079,124.50","True","2.01x-2.14x"
"cache-references","25,023,115,552.59-29,620,133,402.31","184,141,196,712.35-203,270,533,858.75","True","6.73x-7.45x"
"bus-cycles","50,715,478,786.82-58,427,813,206.27","176,369,790,915.04-194,645,249,602.16","True","3.22x-3.58x"
"page-faults","37,174.58-38,361.31","56,110.46-56,454.74","True","1.47x-1.51x"
"branch-instructions","20,317,593,557.04-22,545,308,702.65","36,519,607,850.06-40,148,215,167.74","True","1.69x-1.89x"
"branch-misses","229,647,421.97-278,273,567.68","2,071,756,886.02-2,234,968,336.68","True","8.15x-8.81x"
"major-faults","100.66-292.18","-8.50-147.00","True","1.11x-4.56x"
"minor-faults","36,985.32-38,147.83","56,057.83-56,368.87","True","1.48x-1.51x"
"avg-memory-over-time-in-bytes","88,710,533.29-103,607,365.97","137,626,565.93-155,492,335.43","True","1.41x-1.64x"
"max-memory-over-time-in-bytes","121,473,787.50-137,575,684.50","164,600,164.97-183,454,158.23","True","1.25x-1.44x"
"cpu-total-utilization-percentage","48.03-50.64","27.28-27.43","True","1.76x-1.85x"
"cpu-user-utilization-percentage","45.83-48.38","27.19-27.34","True","1.68x-1.77x"
"cpu-system-utilization-percentage","2.17-2.28","0.13-0.14","True","16.10x-16.87x"
"instructions-per-cycle","1.24-1.30","0.81-0.91","True","1.40x-1.54x"
"cycles-per-instruction","0.77-0.81","1.10-1.26","True","1.39x-1.59x"
"wall-time-seconds","10.38-11.10","270.20-270.53","True","25.14x-25.21x"
