"metric","docker-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","117,777,619,784.32-136,420,096,858.18","357,719,787,552.80-389,982,444,678.90","True","2.80x-3.08x"
"instructions","146,106,741,804.05-172,298,841,587.16","321,584,778,794.34-347,929,667,252.96","True","1.99x-2.22x"
"cache-misses","104,232,691.35-116,694,141.51","198,223,489.50-211,303,750.50","True","1.77x-1.93x"
"cache-references","26,648,438,450.79-31,790,880,124.47","190,991,070,897.98-203,701,778,423.02","True","6.52x-6.98x"
"bus-cycles","58,257,422,346.21-68,297,116,408.79","186,346,463,169.17-198,772,438,094.33","True","2.92x-3.17x"
"page-faults","43,300.04-44,408.58","71,709.32-74,696.38","True","1.63x-1.71x"
"branch-instructions","23,478,488,933.27-27,531,462,125.62","41,789,727,758.62-45,218,266,732.38","True","1.60x-1.81x"
"branch-misses","203,327,541.43-235,486,177.91","2,054,283,497.33-2,228,502,039.57","True","9.36x-10.16x"
"major-faults","200.59-410.46","25.44-132.16","True","2.42x-5.34x"
"minor-faults","42,985.52-44,097.09","71,658.59-74,589.41","True","1.64x-1.71x"
"avg-memory-over-time-in-bytes","120,854,901.56-148,850,874.63","162,909,744.15-177,063,773.37","True","1.15x-1.37x"
"max-memory-over-time-in-bytes","152,005,509.05-183,121,018.95","210,640,871.13-225,053,925.67","True","1.20x-1.40x"
"cpu-total-utilization-percentage","42.04-48.58","28.51-28.83","True","1.47x-1.69x"
"cpu-user-utilization-percentage","40.17-46.44","28.32-28.60","True","1.41x-1.63x"
"cpu-system-utilization-percentage","1.86-2.15","0.20-0.24","True","8.60x-9.92x"
"instructions-per-cycle","1.21-1.29","0.86-0.95","True","1.33x-1.45x"
"cycles-per-instruction","0.78-0.83","1.06-1.19","True","1.31x-1.49x"
"wall-time-seconds","13.49-14.30","273.04-273.70","True","19.64x-19.71x"
