"metric","docker-value","native-value","statistically-significant","effect-size"
"cpu-cycles","257,897,858,731.31-280,256,272,256.15","128,764,753,752.65-135,383,281,254.55","True","1.95x-2.12x"
"instructions","320,464,024,094.71-350,582,570,446.22","159,832,275,831.04-169,253,697,489.66","True","1.94x-2.13x"
"cache-misses","218,796,392.76-236,119,050.05","170,285,893.37-175,576,217.33","True","1.26x-1.37x"
"cache-references","57,425,335,394.95-63,764,055,205.70","29,215,659,897.94-30,705,974,457.46","True","1.91x-2.13x"
"bus-cycles","125,859,156,276.26-137,607,686,226.55","64,244,743,577.62-67,360,192,324.58","True","1.91x-2.09x"
"page-faults","69,438.25-71,751.52","67,399.22-68,089.48","True","1.02x-1.06x"
"branch-instructions","51,069,865,559.86-55,714,592,811.54","25,559,625,238.62-26,899,274,942.58","True","1.94x-2.13x"
"branch-misses","382,788,935.97-432,413,139.49","315,356,870.46-324,921,460.84","True","1.19x-1.35x"
"major-faults","369.51-587.50","52.31-256.89","True","2.16x-4.03x"
"minor-faults","68,975.00-71,197.25","67,224.39-67,955.11","True","1.02x-1.05x"
"avg-memory-over-time-in-bytes","260,001,683.05-296,116,632.33","237,045,748.27-272,816,878.85","False","0.99x-1.19x"
"max-memory-over-time-in-bytes","284,691,596.18-329,949,248.62","251,687,870.45-291,362,267.15","True","1.02x-1.24x"
"cpu-total-utilization-percentage","44.22-48.79","55.46-57.03","True","1.16x-1.26x"
"cpu-user-utilization-percentage","42.29-46.68","53.76-55.35","True","1.17x-1.28x"
"cpu-system-utilization-percentage","1.94-2.13","1.73-1.77","True","1.11x-1.22x"
"instructions-per-cycle","1.21-1.28","1.23-1.26","False","0.97x-1.03x"
"cycles-per-instruction","0.78-0.82","0.80-0.81","False","0.97x-1.03x"
"wall-time-seconds","25.41-27.38","23.26-24.67","True","1.05x-1.15x"
