experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
wasm_interpreted,6,2025-02-17T14:30:03.504818,114398429766.0,97566785945.0,34098764384.0,86314292.0,54030.0,50125193050.0,17053781117.0,416414590.0,311.0,53719.0,170338347.57,194363392.0,40.94,39.66,1.27
docker_container,6,2025-02-17T14:31:17.614286,122890662754.0,97774916621.0,21546079641.0,85036139.0,22995.0,47688280581.0,19935979534.0,176127197.0,489.0,22507.0,121857077.89,147124224.0,47.2,44.69,2.51
docker_container_and_daemon,6,2025-02-17T14:31:17.614286,127462233191.74,100743431210.3,22563182049.54,115005118.31,25683.18,49144892226.46,20757249952.87,286263100.73,508.73,25163.14,174740779.32,185868288.0,47.37,44.75,2.62
native,6,2025-02-17T14:32:26.772019,88289725081.0,70726839100.0,16399129663.0,69064988.0,23469.0,35553629257.0,14513233677.0,179406238.0,42.0,23427.0,99250458.48,104296448.0,55.36,53.11,2.16
wasm_aot,9,2025-02-17T14:33:10.540708,115308008687.0,88747754443.0,19895335764.0,80156850.0,46950.0,42968457305.0,18428550980.0,177527387.0,144.0,46806.0,132738856.42,146894848.0,52.61,50.27,2.32
wasm_aot,10,2025-02-17T14:34:08.005703,113601784451.0,87599540434.0,19272105097.0,80231582.0,46165.0,41735846098.0,17806319913.0,173008485.0,31.0,46134.0,133529840.94,143310848.0,54.53,52.34,2.17
native,7,2025-02-17T14:35:01.184152,117700198029.0,90774977251.0,20625651791.0,79332770.0,23293.0,45595088220.0,18966685933.0,170297758.0,12.0,23281.0,76365298.87,81424384.0,53.42,51.45,2.15
wasm_interpreted,7,2025-02-17T14:35:58.449410,117352770198.0,103509642228.0,35830333587.0,91544352.0,51347.0,61006488269.0,19693577383.0,468440005.0,41.0,51306.0,129795072.0,152973312.0,42.66,41.38,1.26
native,8,2025-02-17T14:37:14.109198,93936386829.0,71168832826.0,16122127340.0,70072719.0,21096.0,35711235675.0,14659863566.0,172870372.0,0.0,21096.0,62446796.8,68096000.0,52.72,50.65,2.05
wasm_aot,11,2025-02-17T14:37:59.464156,107396736317.0,83517186350.0,18561911653.0,73716049.0,45879.0,42491036451.0,18077162069.0,165328128.0,0.0,45879.0,113460404.71,120008704.0,55.41,53.22,2.16
native,9,2025-02-17T14:38:52.674928,113924981315.0,87411795877.0,19625081456.0,76853274.0,22561.0,42970101767.0,18203979134.0,180857431.0,0.0,22561.0,74081219.76,77189120.0,53.24,51.14,2.05
wasm_aot,12,2025-02-17T14:39:47.420373,116086440365.0,89530997215.0,20208288339.0,80663722.0,45282.0,44680059195.0,18639679455.0,168522489.0,0.0,45282.0,111282009.95,129368064.0,53.78,51.57,2.2
wasm_aot,13,2025-02-17T14:40:43.198061,112584425873.0,88431380697.0,19495591256.0,81355826.0,46724.0,44619509530.0,18520074244.0,184509193.0,0.0,46724.0,115618273.88,123555840.0,53.76,51.47,2.27
docker_container,7,2025-02-17T14:41:37.581786,123546757405.0,95032524127.0,21312162051.0,83684637.0,23106.0,46287018990.0,20087398636.0,168337345.0,1.0,23104.0,98143670.86,113455104.0,47.1,44.65,2.44
docker_container_and_daemon,7,2025-02-17T14:41:37.581786,129114528096.79,99898746981.83,22347567033.46,101859575.89,25308.55,49233741302.34,21001924884.13,252026686.99,10.4,25288.83,143085009.45,150380544.0,47.25,44.7,2.55
docker_container,8,2025-02-17T14:42:48.279143,115901236221.0,90757255228.0,20002504054.0,80415675.0,22781.0,44376571704.0,18353168404.0,170711284.0,0.0,22780.0,68678656.0,80564224.0,47.97,45.59,2.38
